Tarih,TP_IHRISICREV4_C
2016-06-01,12727217.827
2016-07-01,9745858.385
2016-08-01,11652223.19
2016-09-01,10714538.259
2016-10-01,12620212.628
2016-11-01,12395337.554
2016-12-01,12459259.402
2017-01-01,10948558.542
2017-02-01,11903320.279
2017-03-01,14267280.151
2017-04-01,12671590.864
2017-05-01,13440660.11
2017-06-01,12941426.35
2017-07-01,12485795.524
2017-08-01,13130131.145
2017-09-01,11615371.456
2017-10-01,13764658.156
2017-11-01,13933055.646
2017-12-01,13596269.309
2018-01-01,12165819.872
2018-02-01,13004921.361
2018-03-01,15485387.448
2018-04-01,13824675.064
2018-05-01,14288810.474
2018-06-01,12911287.582
2018-07-01,14057835.143
2018-08-01,12256027.02
2018-09-01,14430635.611
2018-10-01,15627394.508
2018-11-01,15323633.056
2018-12-01,13687591.75
2019-01-01,13026550.233
2019-02-01,13545333.086
2019-03-01,15554212.088
2019-04-01,14620751.057
2019-05-01,16005490.383
2019-06-01,10937798.256
2019-07-01,15240130.041
2019-08-01,12576630.217
2019-09-01,14536020.024
2019-10-01,15517958.696
2019-11-01,15280265.536
2019-12-01,14406420.142
2020-01-01,13824353.738
2020-02-01,13879074.94
2020-03-01,12645196.401
2020-04-01,8323195.317
2020-05-01,9340149.227
2020-06-01,12714603.5
2020-07-01,14160840.333
2020-08-01,11816271.101
2020-09-01,15157404.192
2020-10-01,16423579.515
2020-11-01,15053856.484
2020-12-01,16643887.643
2021-01-01,14074578.0
2021-02-01,15020307.0
2021-03-01,17984720.0
2021-04-01,17757234.0
2021-05-01,15490619.0
2021-06-01,18718101.0
2021-07-01,15496747.0
2021-08-01,17942436.0
2021-09-01,19597733.0
2021-10-01,19672732.0
2021-11-01,20175896.0
2021-12-01,20877914.0
2022-01-01,16388598.0
2022-02-01,18799770.0
2022-03-01,21458705.0
2022-04-01,22168700.0
2022-05-01,17932932.0
2022-06-01,22161954.0
2022-07-01,17457074.0
2022-08-01,20222256.0
2022-09-01,21533490.0
2022-10-01,20172589.0
2022-11-01,20608266.0
2022-12-01,21473302.0
2023-01-01,18094379.0
2023-02-01,17531343.0
2023-03-01,22363482.0
2023-04-01,18249271.0
2023-05-01,20575573.0
2023-06-01,19768747.0
2023-07-01,18650221.0
2023-08-01,20422603.0
2023-09-01,21078401.0
2023-10-01,21355174.0
2023-11-01,21470650.0
2023-12-01,21352275.0
2024-01-01,18615034.0
2024-02-01,19826737.0
2024-03-01,21430463.0
2024-04-01,18246486.0
2024-05-01,22915767.0
2024-06-01,17938817.0
2024-07-01,21242504.0
2024-08-01,20825570.0
2024-09-01,20741453.0
2024-10-01,21900289.0
2024-11-01,20835135.0
2024-12-01,21950911.0
2025-01-01,19755983.0
2025-02-01,19395722.0
2025-03-01,22006677.0
2025-04-01,19616704.0
2025-05-01,23587976.0
2025-06-01,19425536.0
2025-07-01,23794323.0
2025-08-01,20616557.0
