Tarih,TP_FHAY_S05_A
2016-12-01,34.1
2017-01-01,45.1
2017-02-01,46.8
2017-03-01,53.4
2017-04-01,39.4
2017-05-01,37.5
2017-06-01,37.8
2017-07-01,38.0
2017-08-01,40.1
2017-09-01,40.6
2017-10-01,39.6
2017-11-01,46.2
2017-12-01,35.9
2018-01-01,30.9
2018-02-01,32.6
2018-03-01,33.4
2018-04-01,24.1
2018-05-01,37.3
2018-06-01,33.9
2018-07-01,26.5
2018-08-01,24.0
2018-09-01,16.4
2018-10-01,18.5
2018-11-01,27.1
2018-12-01,18.2
2019-01-01,17.4
2019-02-01,16.1
2019-03-01,18.1
2019-04-01,24.3
2019-05-01,29.2
2019-06-01,20.5
2019-07-01,19.1
2019-08-01,28.5
2019-09-01,27.8
2019-10-01,21.0
2019-11-01,24.3
2019-12-01,22.5
2020-01-01,22.3
2020-02-01,26.8
2020-03-01,22.8
2020-04-01,18.4
2020-05-01,21.4
2020-06-01,32.5
2020-07-01,30.1
2020-08-01,20.4
2020-09-01,30.3
2020-10-01,22.6
2020-11-01,45.8
2020-12-01,34.7
2021-01-01,22.6
2021-02-01,29.9
2021-03-01,24.1
2021-04-01,31.0
2021-05-01,38.7
2021-06-01,34.7
2021-07-01,34.4
2021-08-01,35.6
2021-09-01,34.5
2021-10-01,26.0
2021-11-01,24.3
2021-12-01,24.1
2022-01-01,26.9
2022-02-01,27.2
2022-03-01,26.6
2022-04-01,41.1
2022-05-01,39.0
2022-06-01,48.0
2022-07-01,37.5
2022-08-01,39.3
2022-09-01,27.9
2022-10-01,47.0
2022-11-01,62.7
2022-12-01,60.6
2023-01-01,49.9
2023-02-01,34.3
2023-03-01,43.9
2023-04-01,26.3
2023-05-01,36.9
2023-06-01,51.0
2023-07-01,51.0
2023-08-01,50.3
2023-09-01,30.6
2023-10-01,40.0
2023-11-01,36.3
2023-12-01,55.7
2024-01-01,54.1
2024-02-01,54.5
2024-03-01,43.2
2024-04-01,28.2
2024-05-01,34.8
2024-06-01,36.0
2024-07-01,37.5
2024-08-01,44.3
2024-09-01,37.4
2024-10-01,20.3
2024-11-01,37.2
2024-12-01,49.9
2025-01-01,38.7
2025-02-01,38.5
2025-03-01,19.6
2025-04-01,27.0
2025-05-01,27.1
2025-06-01,27.7
2025-07-01,49.6
2025-08-01,50.9
2025-09-01,48.0
