Tarih,TP_UNDNAKLIYE_TIH_CT_ADET
2016-10-01,433.0
2016-11-01,397.0
2016-12-01,463.0
2017-01-01,436.0
2017-02-01,632.0
2017-03-01,489.0
2017-04-01,544.0
2017-05-01,444.0
2017-06-01,416.0
2017-07-01,466.0
2017-08-01,461.0
2017-09-01,469.0
2017-10-01,522.0
2017-11-01,543.0
2017-12-01,528.0
2018-01-01,633.0
2018-02-01,773.0
2018-03-01,742.0
2018-04-01,726.0
2018-05-01,769.0
2018-06-01,538.0
2018-07-01,515.0
2018-08-01,451.0
2018-09-01,627.0
2018-10-01,574.0
2018-11-01,569.0
2018-12-01,489.0
2019-01-01,530.0
2019-02-01,560.0
2019-03-01,597.0
2019-04-01,560.0
2019-05-01,581.0
2019-06-01,373.0
2019-07-01,462.0
2019-08-01,372.0
2019-09-01,469.0
2019-10-01,493.0
2019-11-01,468.0
2019-12-01,475.0
2020-01-01,338.0
2020-02-01,549.0
2020-03-01,290.0
2020-04-01,166.0
2020-05-01,163.0
2020-06-01,243.0
2020-07-01,257.0
2020-08-01,259.0
2020-09-01,264.0
2020-10-01,253.0
2020-11-01,264.0
2020-12-01,298.0
2021-01-01,240.0
2021-02-01,156.0
2021-03-01,267.0
2021-04-01,264.0
2021-05-01,247.0
2021-06-01,318.0
2021-07-01,297.0
2021-08-01,424.0
2021-09-01,369.0
2021-10-01,373.0
2021-11-01,379.0
2021-12-01,375.0
2022-01-01,286.0
2022-02-01,370.0
2022-03-01,517.0
2022-04-01,709.0
2022-05-01,673.0
2022-06-01,606.0
2022-07-01,388.0
2022-08-01,506.0
2022-09-01,490.0
2022-10-01,478.0
2022-11-01,460.0
2022-12-01,438.0
2023-01-01,343.0
2023-02-01,366.0
2023-03-01,435.0
2023-04-01,465.0
2023-05-01,528.0
2023-06-01,490.0
2023-07-01,458.0
2023-08-01,552.0
2023-09-01,529.0
2023-10-01,512.0
2023-11-01,465.0
2023-12-01,500.0
2024-01-01,505.0
2024-02-01,887.0
2024-03-01,685.0
2024-04-01,634.0
2024-05-01,915.0
2024-06-01,556.0
2024-07-01,616.0
2024-08-01,484.0
2024-09-01,515.0
2024-10-01,625.0
2024-11-01,625.0
2024-12-01,657.0
2025-01-01,586.0
2025-02-01,502.0
2025-03-01,677.0
2025-04-01,771.0
2025-05-01,752.0
2025-06-01,731.0
2025-07-01,674.0
2025-08-01,582.0
2025-09-01,610.0
