Tarih,TP_UNDNAKLIYE_TIH_LB_ADET
2016-10-01,428.0
2016-11-01,505.0
2016-12-01,476.0
2017-01-01,510.0
2017-02-01,436.0
2017-03-01,502.0
2017-04-01,425.0
2017-05-01,497.0
2017-06-01,340.0
2017-07-01,355.0
2017-08-01,421.0
2017-09-01,440.0
2017-10-01,401.0
2017-11-01,469.0
2017-12-01,488.0
2018-01-01,304.0
2018-02-01,350.0
2018-03-01,410.0
2018-04-01,382.0
2018-05-01,365.0
2018-06-01,287.0
2018-07-01,365.0
2018-08-01,304.0
2018-09-01,465.0
2018-10-01,567.0
2018-11-01,422.0
2018-12-01,395.0
2019-01-01,313.0
2019-02-01,231.0
2019-03-01,418.0
2019-04-01,346.0
2019-05-01,390.0
2019-06-01,211.0
2019-07-01,288.0
2019-08-01,261.0
2019-09-01,349.0
2019-10-01,286.0
2019-11-01,184.0
2019-12-01,216.0
2020-01-01,143.0
2020-02-01,262.0
2020-03-01,226.0
2020-04-01,263.0
2020-05-01,164.0
2020-06-01,189.0
2020-07-01,95.0
2020-08-01,184.0
2020-09-01,195.0
2020-10-01,285.0
2020-11-01,328.0
2020-12-01,422.0
2021-01-01,285.0
2021-02-01,402.0
2021-03-01,452.0
2021-04-01,621.0
2021-05-01,453.0
2021-06-01,629.0
2021-07-01,398.0
2021-08-01,425.0
2021-09-01,621.0
2021-10-01,762.0
2021-11-01,662.0
2021-12-01,817.0
2022-01-01,449.0
2022-02-01,623.0
2022-03-01,816.0
2022-04-01,944.0
2022-05-01,776.0
2022-06-01,853.0
2022-07-01,721.0
2022-08-01,946.0
2022-09-01,753.0
2022-10-01,968.0
2022-11-01,829.0
2022-12-01,587.0
2023-01-01,346.0
2023-02-01,324.0
2023-03-01,581.0
2023-04-01,374.0
2023-05-01,539.0
2023-06-01,389.0
2023-07-01,360.0
2023-08-01,455.0
2023-09-01,473.0
2023-10-01,479.0
2023-11-01,422.0
2023-12-01,414.0
2024-01-01,343.0
2024-02-01,355.0
2024-03-01,441.0
2024-04-01,327.0
2024-05-01,384.0
2024-06-01,209.0
2024-07-01,308.0
2024-08-01,366.0
2024-09-01,306.0
2024-10-01,279.0
2024-11-01,342.0
2024-12-01,370.0
2025-01-01,248.0
2025-02-01,287.0
2025-03-01,354.0
2025-04-01,260.0
2025-05-01,335.0
2025-06-01,164.0
2025-07-01,238.0
2025-08-01,243.0
2025-09-01,289.0
