Tarih,TP_UNDNAKLIYE_TIH_UA_ADET
2016-10-01,618.0
2016-11-01,645.0
2016-12-01,656.0
2017-01-01,382.0
2017-02-01,319.0
2017-03-01,357.0
2017-04-01,423.0
2017-05-01,439.0
2017-06-01,324.0
2017-07-01,335.0
2017-08-01,534.0
2017-09-01,488.0
2017-10-01,771.0
2017-11-01,628.0
2017-12-01,659.0
2018-01-01,538.0
2018-02-01,620.0
2018-03-01,599.0
2018-04-01,772.0
2018-05-01,850.0
2018-06-01,396.0
2018-07-01,437.0
2018-08-01,508.0
2018-09-01,558.0
2018-10-01,800.0
2018-11-01,1103.0
2018-12-01,846.0
2019-01-01,513.0
2019-02-01,610.0
2019-03-01,525.0
2019-04-01,789.0
2019-05-01,771.0
2019-06-01,278.0
2019-07-01,445.0
2019-08-01,370.0
2019-09-01,508.0
2019-10-01,673.0
2019-11-01,672.0
2019-12-01,1166.0
2020-01-01,940.0
2020-02-01,773.0
2020-03-01,1020.0
2020-04-01,1025.0
2020-05-01,996.0
2020-06-01,659.0
2020-07-01,808.0
2020-08-01,762.0
2020-09-01,842.0
2020-10-01,1219.0
2020-11-01,1802.0
2020-12-01,1637.0
2021-01-01,1556.0
2021-02-01,1204.0
2021-03-01,1453.0
2021-04-01,1578.0
2021-05-01,1521.0
2021-06-01,1406.0
2021-07-01,1071.0
2021-08-01,1128.0
2021-09-01,1421.0
2021-10-01,1650.0
2021-11-01,2359.0
2021-12-01,2236.0
2022-01-01,2045.0
2022-02-01,1439.0
2022-03-01,383.0
2022-04-01,942.0
2022-05-01,2289.0
2022-06-01,2770.0
2022-07-01,1784.0
2022-08-01,1594.0
2022-09-01,1329.0
2022-10-01,1774.0
2022-11-01,2334.0
2022-12-01,2698.0
2023-01-01,2062.0
2023-02-01,1429.0
2023-03-01,991.0
2023-04-01,969.0
2023-05-01,1424.0
2023-06-01,1234.0
2023-07-01,774.0
2023-08-01,935.0
2023-09-01,613.0
2023-10-01,1106.0
2023-11-01,1698.0
2023-12-01,2288.0
2024-01-01,1228.0
2024-02-01,1235.0
2024-03-01,1151.0
2024-04-01,1044.0
2024-05-01,1002.0
2024-06-01,450.0
2024-07-01,259.0
2024-08-01,486.0
2024-09-01,501.0
2024-10-01,796.0
2024-11-01,1172.0
2024-12-01,915.0
2025-01-01,641.0
2025-02-01,635.0
2025-03-01,562.0
2025-04-01,487.0
2025-05-01,587.0
2025-06-01,448.0
2025-07-01,234.0
2025-08-01,209.0
2025-09-01,182.0
