Tarih,TP_UNDNAKLIYE_TIH_SY_ADET
2016-05-01,8469.0
2016-06-01,9912.0
2016-07-01,10050.0
2016-08-01,17541.0
2016-09-01,12836.0
2016-10-01,18330.0
2016-11-01,14349.0
2016-12-01,11558.0
2017-01-01,12569.0
2017-02-01,13118.0
2017-03-01,12275.0
2017-04-01,11105.0
2017-05-01,12305.0
2017-06-01,10428.0
2017-07-01,11407.0
2017-08-01,14138.0
2017-09-01,10310.0
2017-10-01,11326.0
2017-11-01,15400.0
2017-12-01,15455.0
2018-01-01,9571.0
2018-02-01,8159.0
2018-03-01,8785.0
2018-04-01,8466.0
2018-05-01,10798.0
2018-06-01,8455.0
2018-07-01,10847.0
2018-08-01,8888.0
2018-09-01,10362.0
2018-10-01,11964.0
2018-11-01,12163.0
2018-12-01,10653.0
2019-01-01,9840.0
2019-02-01,10480.0
2019-03-01,9455.0
2019-04-01,9803.0
2019-05-01,10719.0
2019-06-01,8966.0
2019-07-01,13553.0
2019-08-01,11965.0
2019-09-01,14651.0
2019-10-01,15595.0
2019-11-01,13109.0
2019-12-01,8851.0
2020-01-01,8119.0
2020-02-01,5406.0
2020-03-01,10082.0
2020-04-01,10074.0
2020-05-01,8258.0
2020-06-01,9838.0
2020-07-01,10162.0
2020-08-01,10392.0
2020-09-01,13077.0
2020-10-01,13164.0
2020-11-01,11446.0
2020-12-01,12767.0
2021-01-01,11127.0
2021-02-01,10928.0
2021-03-01,11534.0
2021-04-01,11186.0
2021-05-01,12739.0
2021-06-01,14635.0
2021-07-01,11353.0
2021-08-01,16190.0
2021-09-01,17543.0
2021-10-01,16449.0
2021-11-01,14772.0
2021-12-01,15400.0
2022-01-01,12908.0
2022-02-01,13885.0
2022-03-01,16304.0
2022-04-01,13303.0
2022-05-01,13378.0
2022-06-01,14111.0
2022-07-01,9857.0
2022-08-01,12892.0
2022-09-01,14528.0
2022-10-01,13543.0
2022-11-01,14874.0
2022-12-01,15342.0
2023-01-01,12841.0
2023-02-01,9907.0
2023-03-01,14517.0
2023-04-01,11734.0
2023-05-01,14069.0
2023-06-01,13655.0
2023-07-01,13761.0
2023-08-01,17024.0
2023-09-01,16017.0
2023-10-01,16445.0
2023-11-01,16334.0
2023-12-01,14430.0
2024-01-01,11700.0
2024-02-01,13698.0
2024-03-01,15155.0
2024-04-01,12843.0
2024-05-01,16828.0
2024-06-01,13246.0
2024-07-01,16744.0
2024-08-01,18563.0
2024-09-01,19339.0
2024-10-01,17553.0
2024-11-01,15406.0
2024-12-01,18784.0
2025-01-01,21127.0
2025-02-01,21850.0
2025-03-01,21716.0
2025-04-01,22292.0
2025-05-01,25494.0
2025-06-01,20534.0
2025-07-01,25531.0
2025-08-01,25172.0
2025-09-01,25396.0
