Tarih,TP_UNDNAKLIYE_TIH_XK_ADET
2016-10-01,226.0
2016-11-01,224.0
2016-12-01,299.0
2017-01-01,130.0
2017-02-01,161.0
2017-03-01,258.0
2017-04-01,335.0
2017-05-01,293.0
2017-06-01,256.0
2017-07-01,275.0
2017-08-01,242.0
2017-09-01,203.0
2017-10-01,256.0
2017-11-01,232.0
2017-12-01,259.0
2018-01-01,177.0
2018-02-01,223.0
2018-03-01,296.0
2018-04-01,412.0
2018-05-01,429.0
2018-06-01,285.0
2018-07-01,311.0
2018-08-01,295.0
2018-09-01,317.0
2018-10-01,359.0
2018-11-01,335.0
2018-12-01,387.0
2019-01-01,226.0
2019-02-01,268.0
2019-03-01,437.0
2019-04-01,319.0
2019-05-01,380.0
2019-06-01,300.0
2019-07-01,373.0
2019-08-01,287.0
2019-09-01,342.0
2019-10-01,344.0
2019-11-01,423.0
2019-12-01,476.0
2020-01-01,332.0
2020-02-01,392.0
2020-03-01,468.0
2020-04-01,321.0
2020-05-01,385.0
2020-06-01,528.0
2020-07-01,374.0
2020-08-01,234.0
2020-09-01,328.0
2020-10-01,449.0
2020-11-01,473.0
2020-12-01,566.0
2021-01-01,433.0
2021-02-01,443.0
2021-03-01,619.0
2021-04-01,671.0
2021-05-01,574.0
2021-06-01,713.0
2021-07-01,555.0
2021-08-01,631.0
2021-09-01,651.0
2021-10-01,726.0
2021-11-01,782.0
2021-12-01,911.0
2022-01-01,602.0
2022-02-01,633.0
2022-03-01,739.0
2022-04-01,718.0
2022-05-01,587.0
2022-06-01,644.0
2022-07-01,483.0
2022-08-01,526.0
2022-09-01,379.0
2022-10-01,483.0
2022-11-01,484.0
2022-12-01,541.0
2023-01-01,399.0
2023-02-01,411.0
2023-03-01,528.0
2023-04-01,488.0
2023-05-01,455.0
2023-06-01,488.0
2023-07-01,418.0
2023-08-01,495.0
2023-09-01,429.0
2023-10-01,536.0
2023-11-01,579.0
2023-12-01,639.0
2024-01-01,516.0
2024-02-01,560.0
2024-03-01,620.0
2024-04-01,490.0
2024-05-01,466.0
2024-06-01,365.0
2024-07-01,484.0
2024-08-01,531.0
2024-09-01,470.0
2024-10-01,519.0
2024-11-01,405.0
2024-12-01,209.0
2025-01-01,159.0
2025-02-01,178.0
2025-03-01,224.0
2025-04-01,222.0
2025-05-01,220.0
2025-06-01,171.0
2025-07-01,232.0
2025-08-01,171.0
2025-09-01,150.0
