Tarih,TP_UNDNAKLIYE_TIH_FR_ADET
2016-05-01,2783.0
2016-06-01,2729.0
2016-07-01,2010.0
2016-08-01,2126.0
2016-09-01,2461.0
2016-10-01,3052.0
2016-11-01,2699.0
2016-12-01,2581.0
2017-01-01,2837.0
2017-02-01,2516.0
2017-03-01,2673.0
2017-04-01,2592.0
2017-05-01,2363.0
2017-06-01,2470.0
2017-07-01,2288.0
2017-08-01,2332.0
2017-09-01,2355.0
2017-10-01,2776.0
2017-11-01,2792.0
2017-12-01,2761.0
2018-01-01,2818.0
2018-02-01,2580.0
2018-03-01,3146.0
2018-04-01,2889.0
2018-05-01,2925.0
2018-06-01,2884.0
2018-07-01,3203.0
2018-08-01,2184.0
2018-09-01,2954.0
2018-10-01,2697.0
2018-11-01,2661.0
2018-12-01,2417.0
2019-01-01,2502.0
2019-02-01,2544.0
2019-03-01,2985.0
2019-04-01,2482.0
2019-05-01,2806.0
2019-06-01,2596.0
2019-07-01,2379.0
2019-08-01,1901.0
2019-09-01,2538.0
2019-10-01,2459.0
2019-11-01,2596.0
2019-12-01,2451.0
2020-01-01,2150.0
2020-02-01,2646.0
2020-03-01,1984.0
2020-04-01,1041.0
2020-05-01,1798.0
2020-06-01,2349.0
2020-07-01,2544.0
2020-08-01,2146.0
2020-09-01,2718.0
2020-10-01,2703.0
2020-11-01,2591.0
2020-12-01,2667.0
2021-01-01,2441.0
2021-02-01,2631.0
2021-03-01,3084.0
2021-04-01,2896.0
2021-05-01,2749.0
2021-06-01,2915.0
2021-07-01,2450.0
2021-08-01,2813.0
2021-09-01,3191.0
2021-10-01,3344.0
2021-11-01,3168.0
2021-12-01,3216.0
2022-01-01,3007.0
2022-02-01,3088.0
2022-03-01,3464.0
2022-04-01,3240.0
2022-05-01,3049.0
2022-06-01,3749.0
2022-07-01,2787.0
2022-08-01,3177.0
2022-09-01,3313.0
2022-10-01,3561.0
2022-11-01,3223.0
2022-12-01,3244.0
2023-01-01,3247.0
2023-02-01,3164.0
2023-03-01,3681.0
2023-04-01,3270.0
2023-05-01,3281.0
2023-06-01,3463.0
2023-07-01,2827.0
2023-08-01,3122.0
2023-09-01,3433.0
2023-10-01,3693.0
2023-11-01,3494.0
2023-12-01,3381.0
2024-01-01,3469.0
2024-02-01,3379.0
2024-03-01,3854.0
2024-04-01,2902.0
2024-05-01,3733.0
2024-06-01,3244.0
2024-07-01,3298.0
2024-08-01,3312.0
2024-09-01,3533.0
2024-10-01,3739.0
2024-11-01,3464.0
2024-12-01,3271.0
2025-01-01,3172.0
2025-02-01,3007.0
2025-03-01,3746.0
2025-04-01,3143.0
2025-05-01,3749.0
2025-06-01,3081.0
2025-07-01,3247.0
2025-08-01,3064.0
2025-09-01,3432.0
