Tarih,TP_UNDNAKLIYE_TIH_BG_ADET
2016-06-01,1379.0
2016-07-01,925.0
2016-08-01,966.0
2016-09-01,961.0
2016-10-01,1428.0
2016-11-01,1390.0
2016-12-01,1407.0
2017-01-01,1242.0
2017-02-01,1295.0
2017-03-01,1408.0
2017-04-01,1206.0
2017-05-01,1343.0
2017-06-01,1303.0
2017-07-01,1203.0
2017-08-01,1108.0
2017-09-01,1063.0
2017-10-01,1466.0
2017-11-01,1515.0
2017-12-01,1438.0
2018-01-01,1509.0
2018-02-01,1587.0
2018-03-01,1784.0
2018-04-01,1647.0
2018-05-01,1823.0
2018-06-01,1523.0
2018-07-01,1360.0
2018-08-01,1159.0
2018-09-01,1791.0
2018-10-01,2126.0
2018-11-01,2378.0
2018-12-01,2126.0
2019-01-01,1906.0
2019-02-01,1864.0
2019-03-01,1860.0
2019-04-01,1722.0
2019-05-01,1932.0
2019-06-01,1925.0
2019-07-01,1940.0
2019-08-01,1430.0
2019-09-01,1801.0
2019-10-01,2279.0
2019-11-01,2714.0
2019-12-01,2285.0
2020-01-01,2216.0
2020-02-01,2190.0
2020-03-01,1853.0
2020-04-01,1331.0
2020-05-01,1610.0
2020-06-01,2020.0
2020-07-01,1805.0
2020-08-01,1823.0
2020-09-01,2334.0
2020-10-01,2995.0
2020-11-01,3138.0
2020-12-01,2789.0
2021-01-01,2740.0
2021-02-01,2790.0
2021-03-01,2908.0
2021-04-01,2808.0
2021-05-01,2979.0
2021-06-01,3304.0
2021-07-01,2819.0
2021-08-01,3092.0
2021-09-01,3287.0
2021-10-01,4287.0
2021-11-01,4577.0
2021-12-01,3820.0
2022-01-01,3844.0
2022-02-01,3477.0
2022-03-01,3906.0
2022-04-01,4016.0
2022-05-01,3757.0
2022-06-01,4067.0
2022-07-01,2711.0
2022-08-01,3421.0
2022-09-01,3420.0
2022-10-01,4019.0
2022-11-01,3571.0
2022-12-01,2868.0
2023-01-01,3012.0
2023-02-01,2982.0
2023-03-01,3428.0
2023-04-01,3029.0
2023-05-01,3372.0
2023-06-01,3166.0
2023-07-01,3086.0
2023-08-01,3109.0
2023-09-01,3264.0
2023-10-01,3693.0
2023-11-01,3522.0
2023-12-01,3007.0
2024-01-01,3257.0
2024-02-01,3084.0
2024-03-01,3135.0
2024-04-01,2793.0
2024-05-01,3134.0
2024-06-01,2749.0
2024-07-01,3182.0
2024-08-01,2768.0
2024-09-01,2891.0
2024-10-01,3362.0
2024-11-01,4624.0
2024-12-01,4576.0
2025-01-01,3219.0
2025-02-01,2905.0
2025-03-01,3167.0
2025-04-01,3114.0
2025-05-01,3158.0
2025-06-01,3228.0
2025-07-01,3503.0
2025-08-01,3197.0
2025-09-01,3444.0
