Tarih,TP_UNDNAKLIYE_TIH_SE_ADET
2016-10-01,533.0
2016-11-01,525.0
2016-12-01,488.0
2017-01-01,482.0
2017-02-01,423.0
2017-03-01,501.0
2017-04-01,556.0
2017-05-01,502.0
2017-06-01,511.0
2017-07-01,473.0
2017-08-01,515.0
2017-09-01,470.0
2017-10-01,543.0
2017-11-01,455.0
2017-12-01,453.0
2018-01-01,409.0
2018-02-01,394.0
2018-03-01,463.0
2018-04-01,429.0
2018-05-01,493.0
2018-06-01,452.0
2018-07-01,432.0
2018-08-01,394.0
2018-09-01,434.0
2018-10-01,491.0
2018-11-01,497.0
2018-12-01,418.0
2019-01-01,387.0
2019-02-01,406.0
2019-03-01,411.0
2019-04-01,387.0
2019-05-01,446.0
2019-06-01,348.0
2019-07-01,374.0
2019-08-01,423.0
2019-09-01,438.0
2019-10-01,498.0
2019-11-01,464.0
2019-12-01,383.0
2020-01-01,397.0
2020-02-01,402.0
2020-03-01,409.0
2020-04-01,325.0
2020-05-01,406.0
2020-06-01,466.0
2020-07-01,456.0
2020-08-01,503.0
2020-09-01,526.0
2020-10-01,524.0
2020-11-01,546.0
2020-12-01,596.0
2021-01-01,530.0
2021-02-01,516.0
2021-03-01,608.0
2021-04-01,579.0
2021-05-01,564.0
2021-06-01,683.0
2021-07-01,494.0
2021-08-01,638.0
2021-09-01,522.0
2021-10-01,657.0
2021-11-01,627.0
2021-12-01,568.0
2022-01-01,564.0
2022-02-01,540.0
2022-03-01,593.0
2022-04-01,592.0
2022-05-01,555.0
2022-06-01,648.0
2022-07-01,491.0
2022-08-01,702.0
2022-09-01,572.0
2022-10-01,658.0
2022-11-01,499.0
2022-12-01,530.0
2023-01-01,617.0
2023-02-01,477.0
2023-03-01,576.0
2023-04-01,513.0
2023-05-01,533.0
2023-06-01,604.0
2023-07-01,473.0
2023-08-01,561.0
2023-09-01,522.0
2023-10-01,627.0
2023-11-01,567.0
2023-12-01,537.0
2024-01-01,531.0
2024-02-01,498.0
2024-03-01,553.0
2024-04-01,433.0
2024-05-01,610.0
2024-06-01,518.0
2024-07-01,565.0
2024-08-01,590.0
2024-09-01,559.0
2024-10-01,622.0
2024-11-01,545.0
2024-12-01,621.0
2025-01-01,522.0
2025-02-01,497.0
2025-03-01,564.0
2025-04-01,559.0
2025-05-01,632.0
2025-06-01,611.0
2025-07-01,583.0
2025-08-01,613.0
2025-09-01,587.0
