Tarih,TP_UNDNAKLIYE_TIH_RU_ADET
2016-07-01,15.0
2016-08-01,35.0
2016-09-01,47.0
2016-10-01,73.0
2016-11-01,104.0
2016-12-01,114.0
2017-01-01,89.0
2017-02-01,119.0
2017-03-01,120.0
2017-04-01,158.0
2017-05-01,240.0
2017-06-01,594.0
2017-07-01,875.0
2017-08-01,1163.0
2017-09-01,1245.0
2017-10-01,1534.0
2017-11-01,1365.0
2017-12-01,1202.0
2018-01-01,1136.0
2018-02-01,1023.0
2018-03-01,1250.0
2018-04-01,1276.0
2018-05-01,1657.0
2018-06-01,1847.0
2018-07-01,1608.0
2018-08-01,1332.0
2018-09-01,1874.0
2018-10-01,1652.0
2018-11-01,873.0
2018-12-01,383.0
2019-01-01,1055.0
2019-02-01,1040.0
2019-03-01,1033.0
2019-04-01,481.0
2019-05-01,1152.0
2019-06-01,919.0
2019-07-01,2150.0
2019-08-01,1926.0
2019-09-01,1014.0
2019-10-01,1054.0
2019-11-01,1162.0
2019-12-01,1268.0
2020-01-01,2798.0
2020-02-01,2857.0
2020-03-01,2715.0
2020-04-01,2634.0
2020-05-01,2817.0
2020-06-01,4226.0
2020-07-01,3329.0
2020-08-01,2737.0
2020-09-01,3262.0
2020-10-01,4837.0
2020-11-01,2150.0
2020-12-01,1992.0
2021-01-01,1395.0
2021-02-01,1230.0
2021-03-01,3816.0
2021-04-01,3879.0
2021-05-01,4552.0
2021-06-01,5817.0
2021-07-01,3024.0
2021-08-01,3027.0
2021-09-01,4250.0
2021-10-01,5525.0
2021-11-01,4629.0
2021-12-01,4413.0
2022-01-01,3703.0
2022-02-01,3452.0
2022-03-01,2546.0
2022-04-01,3455.0
2022-05-01,4556.0
2022-06-01,5748.0
2022-07-01,4980.0
2022-08-01,6031.0
2022-09-01,5522.0
2022-10-01,7234.0
2022-11-01,7443.0
2022-12-01,7422.0
2023-01-01,5913.0
2023-02-01,4527.0
2023-03-01,5415.0
2023-04-01,5100.0
2023-05-01,6193.0
2023-06-01,6728.0
2023-07-01,4286.0
2023-08-01,4542.0
2023-09-01,4698.0
2023-10-01,6028.0
2023-11-01,6377.0
2023-12-01,6366.0
2024-01-01,5217.0
2024-02-01,5079.0
2024-03-01,5901.0
2024-04-01,4799.0
2024-05-01,6307.0
2024-06-01,5879.0
2024-07-01,4951.0
2024-08-01,4619.0
2024-09-01,4515.0
2024-10-01,4893.0
2024-11-01,5384.0
2024-12-01,4803.0
2025-01-01,4634.0
2025-02-01,5113.0
2025-03-01,5446.0
2025-04-01,3958.0
2025-05-01,4345.0
2025-06-01,4161.0
2025-07-01,2667.0
2025-08-01,3258.0
2025-09-01,3258.0
