Tarih,TP_UNDNAKLIYE_TIH_GE_ADET
2016-05-01,4488.0
2016-06-01,4392.0
2016-07-01,3188.0
2016-08-01,2690.0
2016-09-01,3647.0
2016-10-01,4096.0
2016-11-01,3945.0
2016-12-01,3255.0
2017-01-01,2617.0
2017-02-01,3069.0
2017-03-01,3302.0
2017-04-01,3370.0
2017-05-01,3886.0
2017-06-01,3727.0
2017-07-01,3319.0
2017-08-01,3300.0
2017-09-01,2814.0
2017-10-01,3567.0
2017-11-01,3487.0
2017-12-01,3699.0
2018-01-01,2312.0
2018-02-01,2877.0
2018-03-01,3501.0
2018-04-01,3469.0
2018-05-01,3391.0
2018-06-01,3196.0
2018-07-01,3249.0
2018-08-01,3068.0
2018-09-01,3567.0
2018-10-01,3242.0
2018-11-01,3026.0
2018-12-01,3417.0
2019-01-01,2304.0
2019-02-01,2631.0
2019-03-01,3633.0
2019-04-01,2882.0
2019-05-01,3635.0
2019-06-01,3140.0
2019-07-01,3795.0
2019-08-01,3601.0
2019-09-01,3821.0
2019-10-01,4421.0
2019-11-01,4156.0
2019-12-01,4501.0
2020-01-01,3161.0
2020-02-01,3340.0
2020-03-01,3853.0
2020-04-01,1583.0
2020-05-01,2632.0
2020-06-01,3845.0
2020-07-01,3798.0
2020-08-01,3915.0
2020-09-01,4056.0
2020-10-01,3787.0
2020-11-01,3414.0
2020-12-01,3313.0
2021-01-01,2321.0
2021-02-01,2586.0
2021-03-01,2933.0
2021-04-01,2963.0
2021-05-01,2948.0
2021-06-01,3201.0
2021-07-01,3064.0
2021-08-01,3468.0
2021-09-01,3802.0
2021-10-01,3909.0
2021-11-01,4015.0
2021-12-01,4125.0
2022-01-01,3101.0
2022-02-01,3117.0
2022-03-01,3081.0
2022-04-01,2725.0
2022-05-01,3065.0
2022-06-01,3294.0
2022-07-01,3315.0
2022-08-01,3882.0
2022-09-01,3419.0
2022-10-01,3831.0
2022-11-01,3643.0
2022-12-01,3833.0
2023-01-01,3354.0
2023-02-01,2743.0
2023-03-01,3888.0
2023-04-01,3234.0
2023-05-01,3538.0
2023-06-01,3560.0
2023-07-01,3360.0
2023-08-01,3657.0
2023-09-01,3161.0
2023-10-01,3591.0
2023-11-01,3370.0
2023-12-01,3859.0
2024-01-01,2866.0
2024-02-01,2906.0
2024-03-01,3550.0
2024-04-01,3331.0
2024-05-01,3850.0
2024-06-01,3268.0
2024-07-01,3603.0
2024-08-01,3384.0
2024-09-01,3548.0
2024-10-01,3354.0
2024-11-01,3838.0
2024-12-01,3679.0
2025-01-01,3025.0
2025-02-01,2416.0
2025-03-01,3323.0
2025-04-01,2717.0
2025-05-01,3036.0
2025-06-01,3075.0
2025-07-01,3295.0
2025-08-01,3177.0
2025-09-01,3244.0
