Tarih,TP_UNDNAKLIYE_TIH_XS_ADET
2016-10-01,570.0
2016-11-01,506.0
2016-12-01,537.0
2017-01-01,560.0
2017-02-01,535.0
2017-03-01,607.0
2017-04-01,538.0
2017-05-01,487.0
2017-06-01,410.0
2017-07-01,363.0
2017-08-01,484.0
2017-09-01,395.0
2017-10-01,644.0
2017-11-01,601.0
2017-12-01,626.0
2018-01-01,653.0
2018-02-01,826.0
2018-03-01,825.0
2018-04-01,661.0
2018-05-01,555.0
2018-06-01,443.0
2018-07-01,451.0
2018-08-01,416.0
2018-09-01,592.0
2018-10-01,758.0
2018-11-01,674.0
2018-12-01,748.0
2019-01-01,739.0
2019-02-01,743.0
2019-03-01,682.0
2019-04-01,529.0
2019-05-01,645.0
2019-06-01,459.0
2019-07-01,477.0
2019-08-01,449.0
2019-09-01,601.0
2019-10-01,3.0
2019-11-01,840.0
2019-12-01,895.0
2020-01-01,789.0
2020-02-01,791.0
2020-03-01,761.0
2020-04-01,432.0
2020-05-01,468.0
2020-06-01,527.0
2020-07-01,523.0
2020-08-01,515.0
2020-09-01,740.0
2020-10-01,800.0
2020-11-01,1012.0
2020-12-01,1165.0
2021-01-01,911.0
2021-02-01,952.0
2021-03-01,1112.0
2021-04-01,870.0
2021-05-01,730.0
2021-06-01,803.0
2021-07-01,714.0
2021-08-01,906.0
2021-09-01,1017.0
2021-10-01,1226.0
2021-11-01,1286.0
2021-12-01,1220.0
2022-01-01,1217.0
2022-02-01,1274.0
2022-03-01,1282.0
2022-04-01,1298.0
2022-05-01,1095.0
2022-06-01,1090.0
2022-07-01,857.0
2022-08-01,894.0
2022-09-01,1023.0
2022-10-01,1234.0
2022-11-01,1217.0
2022-12-01,1142.0
2023-01-01,991.0
2023-02-01,1064.0
2023-03-01,1141.0
2023-04-01,878.0
2023-05-01,831.0
2023-06-01,765.0
2023-07-01,752.0
2023-08-01,690.0
2023-09-01,790.0
2023-10-01,888.0
2023-11-01,995.0
2023-12-01,1199.0
2024-01-01,1015.0
2024-02-01,1133.0
2024-03-01,1209.0
2024-04-01,787.0
2024-05-01,873.0
2024-06-01,736.0
2024-07-01,902.0
2024-08-01,892.0
2024-09-01,879.0
2024-10-01,1000.0
2024-11-01,983.0
2024-12-01,1425.0
2025-01-01,1417.0
2025-02-01,1469.0
2025-03-01,1539.0
2025-04-01,1270.0
2025-05-01,1276.0
2025-06-01,1118.0
2025-07-01,1146.0
2025-08-01,1180.0
2025-09-01,1209.0
