Tarih,TP_UNDNAKLIYE_TIH_AT_ADET
2016-10-01,679.0
2016-11-01,667.0
2016-12-01,526.0
2017-01-01,587.0
2017-02-01,648.0
2017-03-01,631.0
2017-04-01,582.0
2017-05-01,568.0
2017-06-01,655.0
2017-07-01,538.0
2017-08-01,684.0
2017-09-01,638.0
2017-10-01,746.0
2017-11-01,722.0
2017-12-01,660.0
2018-01-01,734.0
2018-02-01,673.0
2018-03-01,681.0
2018-04-01,541.0
2018-05-01,665.0
2018-06-01,630.0
2018-07-01,721.0
2018-08-01,590.0
2018-09-01,739.0
2018-10-01,753.0
2018-11-01,806.0
2018-12-01,658.0
2019-01-01,765.0
2019-02-01,727.0
2019-03-01,757.0
2019-04-01,654.0
2019-05-01,742.0
2019-06-01,776.0
2019-07-01,713.0
2019-08-01,688.0
2019-09-01,741.0
2019-10-01,911.0
2019-11-01,674.0
2019-12-01,723.0
2020-01-01,637.0
2020-02-01,697.0
2020-03-01,603.0
2020-04-01,511.0
2020-05-01,581.0
2020-06-01,860.0
2020-07-01,686.0
2020-08-01,831.0
2020-09-01,801.0
2020-10-01,906.0
2020-11-01,803.0
2020-12-01,843.0
2021-01-01,882.0
2021-02-01,878.0
2021-03-01,892.0
2021-04-01,793.0
2021-05-01,783.0
2021-06-01,943.0
2021-07-01,756.0
2021-08-01,891.0
2021-09-01,962.0
2021-10-01,947.0
2021-11-01,966.0
2021-12-01,890.0
2022-01-01,932.0
2022-02-01,925.0
2022-03-01,1060.0
2022-04-01,977.0
2022-05-01,1007.0
2022-06-01,945.0
2022-07-01,918.0
2022-08-01,1127.0
2022-09-01,1074.0
2022-10-01,1122.0
2022-11-01,1052.0
2022-12-01,960.0
2023-01-01,1112.0
2023-02-01,1079.0
2023-03-01,1296.0
2023-04-01,1053.0
2023-05-01,1150.0
2023-06-01,1138.0
2023-07-01,1142.0
2023-08-01,984.0
2023-09-01,1209.0
2023-10-01,1243.0
2023-11-01,1102.0
2023-12-01,952.0
2024-01-01,1095.0
2024-02-01,1076.0
2024-03-01,1139.0
2024-04-01,972.0
2024-05-01,1186.0
2024-06-01,1057.0
2024-07-01,1159.0
2024-08-01,1237.0
2024-09-01,1304.0
2024-10-01,1146.0
2024-11-01,1103.0
2024-12-01,1248.0
2025-01-01,1615.0
2025-02-01,1321.0
2025-03-01,1483.0
2025-04-01,1185.0
2025-05-01,1341.0
2025-06-01,1476.0
2025-07-01,1429.0
2025-08-01,1522.0
2025-09-01,1614.0
