Tarih,TP_UNDNAKLIYE_TIH_NL_ADET
2016-08-01,1132.0
2016-09-01,969.0
2016-10-01,1228.0
2016-11-01,1114.0
2016-12-01,1184.0
2017-01-01,1223.0
2017-02-01,1039.0
2017-03-01,1201.0
2017-04-01,1127.0
2017-05-01,1108.0
2017-06-01,1103.0
2017-07-01,1101.0
2017-08-01,1142.0
2017-09-01,1060.0
2017-10-01,1354.0
2017-11-01,1246.0
2017-12-01,1295.0
2018-01-01,1276.0
2018-02-01,1156.0
2018-03-01,1389.0
2018-04-01,1249.0
2018-05-01,1313.0
2018-06-01,1147.0
2018-07-01,1206.0
2018-08-01,1077.0
2018-09-01,1374.0
2018-10-01,1290.0
2018-11-01,1298.0
2018-12-01,1295.0
2019-01-01,1105.0
2019-02-01,1093.0
2019-03-01,1270.0
2019-04-01,1200.0
2019-05-01,1260.0
2019-06-01,1150.0
2019-07-01,1314.0
2019-08-01,1264.0
2019-09-01,1412.0
2019-10-01,1462.0
2019-11-01,1533.0
2019-12-01,1467.0
2020-01-01,1377.0
2020-02-01,1438.0
2020-03-01,1307.0
2020-04-01,1145.0
2020-05-01,1343.0
2020-06-01,1413.0
2020-07-01,1539.0
2020-08-01,1550.0
2020-09-01,1721.0
2020-10-01,1808.0
2020-11-01,1521.0
2020-12-01,1645.0
2021-01-01,1621.0
2021-02-01,1536.0
2021-03-01,2023.0
2021-04-01,1875.0
2021-05-01,1885.0
2021-06-01,2077.0
2021-07-01,1760.0
2021-08-01,2216.0
2021-09-01,2229.0
2021-10-01,2375.0
2021-11-01,2256.0
2021-12-01,2307.0
2022-01-01,2332.0
2022-02-01,2171.0
2022-03-01,2556.0
2022-04-01,2546.0
2022-05-01,2134.0
2022-06-01,2334.0
2022-07-01,1888.0
2022-08-01,2300.0
2022-09-01,2193.0
2022-10-01,2478.0
2022-11-01,2259.0
2022-12-01,2304.0
2023-01-01,2430.0
2023-02-01,2139.0
2023-03-01,2622.0
2023-04-01,2248.0
2023-05-01,2467.0
2023-06-01,2342.0
2023-07-01,2143.0
2023-08-01,2396.0
2023-09-01,2378.0
2023-10-01,2697.0
2023-11-01,2538.0
2023-12-01,2486.0
2024-01-01,2462.0
2024-02-01,2518.0
2024-03-01,2870.0
2024-04-01,2176.0
2024-05-01,2877.0
2024-06-01,2376.0
2024-07-01,2661.0
2024-08-01,2690.0
2024-09-01,2587.0
2024-10-01,2554.0
2024-11-01,2265.0
2024-12-01,2189.0
2025-01-01,2283.0
2025-02-01,2265.0
2025-03-01,2734.0
2025-04-01,2398.0
2025-05-01,2910.0
2025-06-01,2422.0
2025-07-01,2642.0
2025-08-01,2670.0
2025-09-01,2567.0
