Tarih,TP_UNDNAKLIYE_TIH_IQ_ADET
2016-05-01,28737.0
2016-06-01,32743.0
2016-07-01,28291.0
2016-08-01,36094.0
2016-09-01,34261.0
2016-10-01,44050.0
2016-11-01,47299.0
2016-12-01,41264.0
2017-01-01,38625.0
2017-02-01,37213.0
2017-03-01,45521.0
2017-04-01,42175.0
2017-05-01,39670.0
2017-06-01,32503.0
2017-07-01,40729.0
2017-08-01,40030.0
2017-09-01,38396.0
2017-10-01,39627.0
2017-11-01,33735.0
2017-12-01,40574.0
2018-01-01,36403.0
2018-02-01,37252.0
2018-03-01,35194.0
2018-04-01,33400.0
2018-05-01,37268.0
2018-06-01,31737.0
2018-07-01,40211.0
2018-08-01,36887.0
2018-09-01,44577.0
2018-10-01,47572.0
2018-11-01,50794.0
2018-12-01,43556.0
2019-01-01,37093.0
2019-02-01,36914.0
2019-03-01,45332.0
2019-04-01,43061.0
2019-05-01,45131.0
2019-06-01,34812.0
2019-07-01,41854.0
2019-08-01,38200.0
2019-09-01,43987.0
2019-10-01,51297.0
2019-11-01,53383.0
2019-12-01,48373.0
2020-01-01,39986.0
2020-02-01,54584.0
2020-03-01,21820.0
2020-04-01,37881.0
2020-05-01,40133.0
2020-06-01,38151.0
2020-07-01,38908.0
2020-08-01,36308.0
2020-09-01,45331.0
2020-10-01,47371.0
2020-11-01,46283.0
2020-12-01,44315.0
2021-01-01,38365.0
2021-02-01,33873.0
2021-03-01,39601.0
2021-04-01,39130.0
2021-05-01,33644.0
2021-06-01,37562.0
2021-07-01,33610.0
2021-08-01,44762.0
2021-09-01,44336.0
2021-10-01,47667.0
2021-11-01,48083.0
2021-12-01,48795.0
2022-01-01,42728.0
2022-02-01,45106.0
2022-03-01,50776.0
2022-04-01,41447.0
2022-05-01,39765.0
2022-06-01,43099.0
2022-07-01,38398.0
2022-08-01,44982.0
2022-09-01,46450.0
2022-10-01,47792.0
2022-11-01,46728.0
2022-12-01,44692.0
2023-01-01,35860.0
2023-02-01,27259.0
2023-03-01,39086.0
2023-04-01,35772.0
2023-05-01,36343.0
2023-06-01,33317.0
2023-07-01,36644.0
2023-08-01,40269.0
2023-09-01,38013.0
2023-10-01,41083.0
2023-11-01,44469.0
2023-12-01,46629.0
2024-01-01,39995.0
2024-02-01,41437.0
2024-03-01,41459.0
2024-04-01,34486.0
2024-05-01,41819.0
2024-06-01,31112.0
2024-07-01,38300.0
2024-08-01,41000.0
2024-09-01,42408.0
2024-10-01,42218.0
2024-11-01,41678.0
2024-12-01,46474.0
2025-01-01,42223.0
2025-02-01,38093.0
2025-03-01,37050.0
2025-04-01,37589.0
2025-05-01,39810.0
2025-06-01,32855.0
2025-07-01,36588.0
2025-08-01,36140.0
2025-09-01,36353.0
