Tarih,TP_UNDNAKLIYE_TIH_BY_ADET
2016-10-01,1055.0
2016-11-01,1088.0
2016-12-01,1319.0
2017-01-01,896.0
2017-02-01,1099.0
2017-03-01,1481.0
2017-04-01,1025.0
2017-05-01,510.0
2017-06-01,352.0
2017-07-01,205.0
2017-08-01,331.0
2017-09-01,314.0
2017-10-01,577.0
2017-11-01,476.0
2017-12-01,686.0
2018-01-01,556.0
2018-02-01,587.0
2018-03-01,564.0
2018-04-01,474.0
2018-05-01,248.0
2018-06-01,161.0
2018-07-01,245.0
2018-08-01,330.0
2018-09-01,284.0
2018-10-01,303.0
2018-11-01,703.0
2018-12-01,825.0
2019-01-01,283.0
2019-02-01,271.0
2019-03-01,274.0
2019-04-01,179.0
2019-05-01,206.0
2019-06-01,299.0
2019-07-01,292.0
2019-08-01,233.0
2019-09-01,268.0
2019-10-01,251.0
2019-11-01,284.0
2019-12-01,441.0
2020-01-01,306.0
2020-02-01,389.0
2020-03-01,257.0
2020-04-01,154.0
2020-05-01,108.0
2020-06-01,169.0
2020-07-01,210.0
2020-08-01,194.0
2020-09-01,209.0
2020-10-01,325.0
2020-11-01,368.0
2020-12-01,431.0
2021-01-01,424.0
2021-02-01,321.0
2021-03-01,352.0
2021-04-01,275.0
2021-05-01,231.0
2021-06-01,294.0
2021-07-01,206.0
2021-08-01,366.0
2021-09-01,493.0
2021-10-01,612.0
2021-11-01,764.0
2021-12-01,1080.0
2022-01-01,620.0
2022-02-01,934.0
2022-03-01,209.0
2022-04-01,269.0
2022-05-01,214.0
2022-06-01,234.0
2022-07-01,310.0
2022-08-01,500.0
2022-09-01,504.0
2022-10-01,505.0
2022-11-01,550.0
2022-12-01,537.0
2023-01-01,658.0
2023-02-01,341.0
2023-03-01,369.0
2023-04-01,336.0
2023-05-01,339.0
2023-06-01,374.0
2023-07-01,293.0
2023-08-01,460.0
2023-09-01,395.0
2023-10-01,514.0
2023-11-01,433.0
2023-12-01,442.0
2024-01-01,352.0
2024-02-01,378.0
2024-03-01,334.0
2024-04-01,277.0
2024-05-01,449.0
2024-06-01,356.0
2024-07-01,359.0
2024-08-01,454.0
2024-09-01,457.0
2024-10-01,497.0
2024-11-01,470.0
2024-12-01,387.0
2025-01-01,312.0
2025-02-01,250.0
2025-03-01,314.0
2025-04-01,247.0
2025-05-01,311.0
2025-06-01,280.0
2025-07-01,347.0
2025-08-01,435.0
2025-09-01,354.0
