Tarih,TP_UNDNAKLIYE_TIH_TM_ADET
2016-05-01,2329.0
2016-06-01,2133.0
2016-07-01,1581.0
2016-08-01,1798.0
2016-09-01,1952.0
2016-10-01,1956.0
2016-11-01,2208.0
2016-12-01,2522.0
2017-01-01,2361.0
2017-02-01,2542.0
2017-03-01,2818.0
2017-04-01,2485.0
2017-05-01,2468.0
2017-06-01,2113.0
2017-07-01,1748.0
2017-08-01,1951.0
2017-09-01,1332.0
2017-10-01,1779.0
2017-11-01,1570.0
2017-12-01,1607.0
2018-01-01,902.0
2018-02-01,807.0
2018-03-01,963.0
2018-04-01,922.0
2018-05-01,1008.0
2018-06-01,929.0
2018-07-01,1017.0
2018-08-01,1009.0
2018-09-01,1116.0
2018-10-01,1119.0
2018-11-01,1549.0
2018-12-01,1426.0
2019-01-01,1063.0
2019-02-01,1189.0
2019-03-01,1224.0
2019-04-01,1028.0
2019-05-01,1141.0
2019-06-01,1197.0
2019-07-01,1349.0
2019-08-01,1290.0
2019-09-01,1129.0
2019-10-01,1206.0
2019-11-01,1329.0
2019-12-01,1460.0
2020-01-01,1114.0
2020-02-01,1087.0
2020-03-01,724.0
2020-04-01,643.0
2020-05-01,798.0
2020-06-01,831.0
2020-07-01,1111.0
2020-08-01,1087.0
2020-09-01,1041.0
2020-10-01,1062.0
2020-11-01,1080.0
2020-12-01,1145.0
2021-01-01,788.0
2021-02-01,907.0
2021-03-01,1321.0
2021-04-01,1235.0
2021-05-01,1240.0
2021-06-01,1172.0
2021-07-01,1015.0
2021-08-01,1139.0
2021-09-01,967.0
2021-10-01,1255.0
2021-11-01,1298.0
2021-12-01,1399.0
2022-01-01,1060.0
2022-02-01,1208.0
2022-03-01,1397.0
2022-04-01,1403.0
2022-05-01,1353.0
2022-06-01,1443.0
2022-07-01,1273.0
2022-08-01,1595.0
2022-09-01,1471.0
2022-10-01,1622.0
2022-11-01,1500.0
2022-12-01,1151.0
2023-01-01,1075.0
2023-02-01,850.0
2023-03-01,1202.0
2023-04-01,1195.0
2023-05-01,1320.0
2023-06-01,1452.0
2023-07-01,1333.0
2023-08-01,1521.0
2023-09-01,1047.0
2023-10-01,1052.0
2023-11-01,989.0
2023-12-01,1031.0
2024-01-01,881.0
2024-02-01,799.0
2024-03-01,986.0
2024-04-01,781.0
2024-05-01,837.0
2024-06-01,755.0
2024-07-01,961.0
2024-08-01,1063.0
2024-09-01,968.0
2024-10-01,779.0
2024-11-01,924.0
2024-12-01,854.0
2025-01-01,789.0
2025-02-01,731.0
2025-03-01,865.0
2025-04-01,1007.0
2025-05-01,1126.0
2025-06-01,936.0
2025-07-01,1082.0
2025-08-01,1036.0
2025-09-01,933.0
