Tarih,TP_UNDNAKLIYE_TIH_TOPLAM_ADET
2016-05-01,89938.0
2016-06-01,97441.0
2016-07-01,82434.0
2016-08-01,101971.0
2016-09-01,94735.0
2016-10-01,121743.0
2016-11-01,114374.0
2016-12-01,101085.0
2017-01-01,98478.0
2017-02-01,98431.0
2017-03-01,114473.0
2017-04-01,105492.0
2017-05-01,103894.0
2017-06-01,93042.0
2017-07-01,103351.0
2017-08-01,106201.0
2017-09-01,97447.0
2017-10-01,110582.0
2017-11-01,107230.0
2017-12-01,112165.0
2018-01-01,99205.0
2018-02-01,99111.0
2018-03-01,102332.0
2018-04-01,94634.0
2018-05-01,104194.0
2018-06-01,90675.0
2018-07-01,104666.0
2018-08-01,88819.0
2018-09-01,110723.0
2018-10-01,116442.0
2018-11-01,119130.0
2018-12-01,104840.0
2019-01-01,95499.0
2019-02-01,96515.0
2019-03-01,112388.0
2019-04-01,103590.0
2019-05-01,112861.0
2019-06-01,93478.0
2019-07-01,112740.0
2019-08-01,99727.0
2019-09-01,115700.0
2019-10-01,126068.0
2019-11-01,125933.0
2019-12-01,112205.0
2020-01-01,99510.0
2020-02-01,115504.0
2020-03-01,80489.0
2020-04-01,81799.0
2020-05-01,91151.0
2020-06-01,101787.0
2020-07-01,103764.0
2020-08-01,95468.0
2020-09-01,116420.0
2020-10-01,123603.0
2020-11-01,115996.0
2020-12-01,113429.0
2021-01-01,102937.0
2021-02-01,97922.0
2021-03-01,116244.0
2021-04-01,113331.0
2021-05-01,109371.0
2021-06-01,121465.0
2021-07-01,102440.0
2021-08-01,125571.0
2021-09-01,130212.0
2021-10-01,139903.0
2021-11-01,137692.0
2021-12-01,136060.0
2022-01-01,123700.0
2022-02-01,127207.0
2022-03-01,139021.0
2022-04-01,126786.0
2022-05-01,124267.0
2022-06-01,134986.0
2022-07-01,112994.0
2022-08-01,131377.0
2022-09-01,133281.0
2022-10-01,142337.0
2022-11-01,137897.0
2022-12-01,131357.0
2023-01-01,120915.0
2023-02-01,101594.0
2023-03-01,130171.0
2023-04-01,114090.0
2023-05-01,122856.0
2023-06-01,118814.0
2023-07-01,114632.0
2023-08-01,124060.0
2023-09-01,124634.0
2023-10-01,134554.0
2023-11-01,135089.0
2023-12-01,132264.0
2024-01-01,120541.0
2024-02-01,124836.0
2024-03-01,132385.0
2024-04-01,109349.0
2024-05-01,134628.0
2024-06-01,109210.0
2024-07-01,125122.0
2024-08-01,128098.0
2024-09-01,132513.0
2024-10-01,133131.0
2024-11-01,129797.0
2024-12-01,133148.0
2025-01-01,130807.0
2025-02-01,125473.0
2025-03-01,133888.0
2025-04-01,125052.0
2025-05-01,138130.0
2025-06-01,119326.0
2025-07-01,130026.0
2025-08-01,127159.0
2025-09-01,129475.0
