Tarih,TP_UNDNAKLIYE_TIH_UZ_ADET
2016-10-01,922.0
2016-11-01,829.0
2016-12-01,654.0
2017-01-01,710.0
2017-02-01,752.0
2017-03-01,998.0
2017-04-01,1098.0
2017-05-01,980.0
2017-06-01,964.0
2017-07-01,873.0
2017-08-01,1063.0
2017-09-01,888.0
2017-10-01,1063.0
2017-11-01,1308.0
2017-12-01,1287.0
2018-01-01,1113.0
2018-02-01,1344.0
2018-03-01,1634.0
2018-04-01,1540.0
2018-05-01,1511.0
2018-06-01,1418.0
2018-07-01,1259.0
2018-08-01,1820.0
2018-09-01,1633.0
2018-10-01,1810.0
2018-11-01,1836.0
2018-12-01,1534.0
2019-01-01,1571.0
2019-02-01,1609.0
2019-03-01,1986.0
2019-04-01,1820.0
2019-05-01,1939.0
2019-06-01,1450.0
2019-07-01,2344.0
2019-08-01,1955.0
2019-09-01,2117.0
2019-10-01,1935.0
2019-11-01,1963.0
2019-12-01,2152.0
2020-01-01,1540.0
2020-02-01,1663.0
2020-03-01,1380.0
2020-04-01,1177.0
2020-05-01,825.0
2020-06-01,1123.0
2020-07-01,1111.0
2020-08-01,814.0
2020-09-01,1016.0
2020-10-01,1406.0
2020-11-01,1127.0
2020-12-01,1040.0
2021-01-01,1343.0
2021-02-01,1390.0
2021-03-01,1425.0
2021-04-01,2282.0
2021-05-01,1434.0
2021-06-01,2094.0
2021-07-01,952.0
2021-08-01,1024.0
2021-09-01,969.0
2021-10-01,1215.0
2021-11-01,1327.0
2021-12-01,852.0
2022-01-01,1110.0
2022-02-01,1233.0
2022-03-01,1408.0
2022-04-01,1665.0
2022-05-01,1100.0
2022-06-01,1017.0
2022-07-01,1411.0
2022-08-01,1968.0
2022-09-01,2029.0
2022-10-01,2000.0
2022-11-01,2052.0
2022-12-01,1752.0
2023-01-01,1529.0
2023-02-01,1579.0
2023-03-01,2408.0
2023-04-01,1648.0
2023-05-01,1780.0
2023-06-01,1775.0
2023-07-01,1574.0
2023-08-01,2083.0
2023-09-01,1846.0
2023-10-01,2057.0
2023-11-01,1834.0
2023-12-01,1705.0
2024-01-01,1305.0
2024-02-01,1619.0
2024-03-01,1525.0
2024-04-01,1382.0
2024-05-01,1799.0
2024-06-01,1346.0
2024-07-01,1765.0
2024-08-01,1707.0
2024-09-01,1873.0
2024-10-01,1994.0
2024-11-01,1773.0
2024-12-01,1930.0
2025-01-01,1205.0
2025-02-01,1324.0
2025-03-01,1736.0
2025-04-01,1355.0
2025-05-01,1516.0
2025-06-01,1362.0
2025-07-01,1742.0
2025-08-01,1981.0
2025-09-01,1803.0
