Tarih,TP_UNDNAKLIYE_TIH_ES_ADET
2016-07-01,1119.0
2016-08-01,1212.0
2016-09-01,1199.0
2016-10-01,1517.0
2016-11-01,1346.0
2016-12-01,1232.0
2017-01-01,1467.0
2017-02-01,1352.0
2017-03-01,1611.0
2017-04-01,1636.0
2017-05-01,1452.0
2017-06-01,1484.0
2017-07-01,1749.0
2017-08-01,1594.0
2017-09-01,1479.0
2017-10-01,1883.0
2017-11-01,1611.0
2017-12-01,1391.0
2018-01-01,1523.0
2018-02-01,1482.0
2018-03-01,1605.0
2018-04-01,1783.0
2018-05-01,1834.0
2018-06-01,1472.0
2018-07-01,1879.0
2018-08-01,1401.0
2018-09-01,2091.0
2018-10-01,1934.0
2018-11-01,1773.0
2018-12-01,1361.0
2019-01-01,1666.0
2019-02-01,1607.0
2019-03-01,2010.0
2019-04-01,1682.0
2019-05-01,1930.0
2019-06-01,1567.0
2019-07-01,1779.0
2019-08-01,1764.0
2019-09-01,2055.0
2019-10-01,1931.0
2019-11-01,1844.0
2019-12-01,1365.0
2020-01-01,1376.0
2020-02-01,1823.0
2020-03-01,1540.0
2020-04-01,493.0
2020-05-01,720.0
2020-06-01,1251.0
2020-07-01,2103.0
2020-08-01,1785.0
2020-09-01,2073.0
2020-10-01,2026.0
2020-11-01,1817.0
2020-12-01,1443.0
2021-01-01,1769.0
2021-02-01,1910.0
2021-03-01,2029.0
2021-04-01,2084.0
2021-05-01,1845.0
2021-06-01,1792.0
2021-07-01,1910.0
2021-08-01,2247.0
2021-09-01,2351.0
2021-10-01,2323.0
2021-11-01,2000.0
2021-12-01,1930.0
2022-01-01,1941.0
2022-02-01,2083.0
2022-03-01,2325.0
2022-04-01,2139.0
2022-05-01,2046.0
2022-06-01,2271.0
2022-07-01,1869.0
2022-08-01,2224.0
2022-09-01,2300.0
2022-10-01,2413.0
2022-11-01,2076.0
2022-12-01,1511.0
2023-01-01,2156.0
2023-02-01,1921.0
2023-03-01,2503.0
2023-04-01,2134.0
2023-05-01,2297.0
2023-06-01,2137.0
2023-07-01,1841.0
2023-08-01,1909.0
2023-09-01,2048.0
2023-10-01,2026.0
2023-11-01,1945.0
2023-12-01,1742.0
2024-01-01,1851.0
2024-02-01,1867.0
2024-03-01,2018.0
2024-04-01,1634.0
2024-05-01,1982.0
2024-06-01,1859.0
2024-07-01,2104.0
2024-08-01,1944.0
2024-09-01,2146.0
2024-10-01,2442.0
2024-11-01,2331.0
2024-12-01,1812.0
2025-01-01,1929.0
2025-02-01,2032.0
2025-03-01,2377.0
2025-04-01,1776.0
2025-05-01,2072.0
2025-06-01,1843.0
2025-07-01,1877.0
2025-08-01,1826.0
2025-09-01,1966.0
