Tarih,TP_UNDNAKLIYE_TIH_PL_ADET
2016-08-01,1086.0
2016-09-01,995.0
2016-10-01,1355.0
2016-11-01,1236.0
2016-12-01,1086.0
2017-01-01,1250.0
2017-02-01,1115.0
2017-03-01,1217.0
2017-04-01,970.0
2017-05-01,1069.0
2017-06-01,923.0
2017-07-01,934.0
2017-08-01,1075.0
2017-09-01,1091.0
2017-10-01,1466.0
2017-11-01,1347.0
2017-12-01,1161.0
2018-01-01,1421.0
2018-02-01,1279.0
2018-03-01,1373.0
2018-04-01,1186.0
2018-05-01,1270.0
2018-06-01,973.0
2018-07-01,1035.0
2018-08-01,1016.0
2018-09-01,1205.0
2018-10-01,1381.0
2018-11-01,1376.0
2018-12-01,1140.0
2019-01-01,1185.0
2019-02-01,1190.0
2019-03-01,1304.0
2019-04-01,1188.0
2019-05-01,1190.0
2019-06-01,1175.0
2019-07-01,1230.0
2019-08-01,1178.0
2019-09-01,1225.0
2019-10-01,1399.0
2019-11-01,1327.0
2019-12-01,1189.0
2020-01-01,1393.0
2020-02-01,1413.0
2020-03-01,1346.0
2020-04-01,1101.0
2020-05-01,1118.0
2020-06-01,1132.0
2020-07-01,1129.0
2020-08-01,1257.0
2020-09-01,1442.0
2020-10-01,1854.0
2020-11-01,1505.0
2020-12-01,1692.0
2021-01-01,1823.0
2021-02-01,1764.0
2021-03-01,2074.0
2021-04-01,1716.0
2021-05-01,1862.0
2021-06-01,1776.0
2021-07-01,1528.0
2021-08-01,2050.0
2021-09-01,1874.0
2021-10-01,2099.0
2021-11-01,2137.0
2021-12-01,2155.0
2022-01-01,2259.0
2022-02-01,2085.0
2022-03-01,2414.0
2022-04-01,2633.0
2022-05-01,2596.0
2022-06-01,2458.0
2022-07-01,1718.0
2022-08-01,2303.0
2022-09-01,1926.0
2022-10-01,2474.0
2022-11-01,2411.0
2022-12-01,2531.0
2023-01-01,2903.0
2023-02-01,2618.0
2023-03-01,2707.0
2023-04-01,2199.0
2023-05-01,2358.0
2023-06-01,2227.0
2023-07-01,1967.0
2023-08-01,2038.0
2023-09-01,2226.0
2023-10-01,3039.0
2023-11-01,3072.0
2023-12-01,2783.0
2024-01-01,3056.0
2024-02-01,2823.0
2024-03-01,3051.0
2024-04-01,2279.0
2024-05-01,2943.0
2024-06-01,2490.0
2024-07-01,2530.0
2024-08-01,2626.0
2024-09-01,2787.0
2024-10-01,3121.0
2024-11-01,2470.0
2024-12-01,2227.0
2025-01-01,2791.0
2025-02-01,2481.0
2025-03-01,2714.0
2025-04-01,2329.0
2025-05-01,2315.0
2025-06-01,2106.0
2025-07-01,2261.0
2025-08-01,2370.0
2025-09-01,2327.0
