Tarih,TP_UNDNAKLIYE_TIH_CZ_ADET
2016-10-01,499.0
2016-11-01,492.0
2016-12-01,410.0
2017-01-01,502.0
2017-02-01,417.0
2017-03-01,471.0
2017-04-01,378.0
2017-05-01,458.0
2017-06-01,487.0
2017-07-01,376.0
2017-08-01,410.0
2017-09-01,456.0
2017-10-01,551.0
2017-11-01,527.0
2017-12-01,454.0
2018-01-01,548.0
2018-02-01,461.0
2018-03-01,464.0
2018-04-01,438.0
2018-05-01,499.0
2018-06-01,408.0
2018-07-01,400.0
2018-08-01,457.0
2018-09-01,488.0
2018-10-01,530.0
2018-11-01,571.0
2018-12-01,425.0
2019-01-01,477.0
2019-02-01,446.0
2019-03-01,379.0
2019-04-01,337.0
2019-05-01,446.0
2019-06-01,518.0
2019-07-01,365.0
2019-08-01,374.0
2019-09-01,446.0
2019-10-01,517.0
2019-11-01,533.0
2019-12-01,351.0
2020-01-01,473.0
2020-02-01,482.0
2020-03-01,415.0
2020-04-01,344.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,491.0
2020-08-01,464.0
2020-09-01,503.0
2020-10-01,585.0
2020-11-01,550.0
2020-12-01,475.0
2021-01-01,549.0
2021-02-01,597.0
2021-03-01,700.0
2021-04-01,541.0
2021-05-01,597.0
2021-06-01,652.0
2021-07-01,536.0
2021-08-01,610.0
2021-09-01,608.0
2021-10-01,636.0
2021-11-01,690.0
2021-12-01,661.0
2022-01-01,734.0
2022-02-01,661.0
2022-03-01,689.0
2022-04-01,648.0
2022-05-01,674.0
2022-06-01,786.0
2022-07-01,549.0
2022-08-01,774.0
2022-09-01,694.0
2022-10-01,747.0
2022-11-01,829.0
2022-12-01,616.0
2023-01-01,858.0
2023-02-01,725.0
2023-03-01,941.0
2023-04-01,677.0
2023-05-01,720.0
2023-06-01,847.0
2023-07-01,661.0
2023-08-01,672.0
2023-09-01,714.0
2023-10-01,862.0
2023-11-01,770.0
2023-12-01,693.0
2024-01-01,783.0
2024-02-01,774.0
2024-03-01,920.0
2024-04-01,755.0
2024-05-01,863.0
2024-06-01,876.0
2024-07-01,829.0
2024-08-01,872.0
2024-09-01,756.0
2024-10-01,869.0
2024-11-01,834.0
2024-12-01,833.0
2025-01-01,904.0
2025-02-01,943.0
2025-03-01,946.0
2025-04-01,823.0
2025-05-01,909.0
2025-06-01,937.0
2025-07-01,980.0
2025-08-01,803.0
2025-09-01,879.0
