Tarih,TP_UNDNAKLIYE_TIH_KZ_ADET
2016-10-01,511.0
2016-11-01,439.0
2016-12-01,380.0
2017-01-01,308.0
2017-02-01,366.0
2017-03-01,462.0
2017-04-01,561.0
2017-05-01,496.0
2017-06-01,443.0
2017-07-01,399.0
2017-08-01,549.0
2017-09-01,351.0
2017-10-01,443.0
2017-11-01,363.0
2017-12-01,398.0
2018-01-01,323.0
2018-02-01,394.0
2018-03-01,518.0
2018-04-01,457.0
2018-05-01,464.0
2018-06-01,388.0
2018-07-01,478.0
2018-08-01,420.0
2018-09-01,398.0
2018-10-01,491.0
2018-11-01,563.0
2018-12-01,423.0
2019-01-01,550.0
2019-02-01,451.0
2019-03-01,644.0
2019-04-01,706.0
2019-05-01,680.0
2019-06-01,608.0
2019-07-01,739.0
2019-08-01,756.0
2019-09-01,822.0
2019-10-01,756.0
2019-11-01,709.0
2019-12-01,572.0
2020-01-01,686.0
2020-02-01,725.0
2020-03-01,695.0
2020-04-01,479.0
2020-05-01,283.0
2020-06-01,399.0
2020-07-01,808.0
2020-08-01,538.0
2020-09-01,771.0
2020-10-01,739.0
2020-11-01,622.0
2020-12-01,587.0
2021-01-01,811.0
2021-02-01,761.0
2021-03-01,639.0
2021-04-01,789.0
2021-05-01,784.0
2021-06-01,696.0
2021-07-01,1011.0
2021-08-01,1012.0
2021-09-01,1280.0
2021-10-01,1166.0
2021-11-01,582.0
2021-12-01,432.0
2022-01-01,539.0
2022-02-01,689.0
2022-03-01,760.0
2022-04-01,951.0
2022-05-01,818.0
2022-06-01,666.0
2022-07-01,975.0
2022-08-01,1185.0
2022-09-01,1165.0
2022-10-01,1334.0
2022-11-01,1213.0
2022-12-01,1022.0
2023-01-01,1220.0
2023-02-01,1143.0
2023-03-01,1375.0
2023-04-01,1139.0
2023-05-01,1301.0
2023-06-01,1370.0
2023-07-01,1311.0
2023-08-01,1669.0
2023-09-01,1462.0
2023-10-01,1510.0
2023-11-01,1130.0
2023-12-01,993.0
2024-01-01,1054.0
2024-02-01,1237.0
2024-03-01,1251.0
2024-04-01,1182.0
2024-05-01,1503.0
2024-06-01,1196.0
2024-07-01,1588.0
2024-08-01,1569.0
2024-09-01,1590.0
2024-10-01,1539.0
2024-11-01,1395.0
2024-12-01,1225.0
2025-01-01,1146.0
2025-02-01,1208.0
2025-03-01,1370.0
2025-04-01,1191.0
2025-05-01,1134.0
2025-06-01,1020.0
2025-07-01,1185.0
2025-08-01,1176.0
2025-09-01,1143.0
