Tarih,TP_UNDNAKLIYE_TIH_RO_ADET
2016-05-01,2833.0
2016-06-01,2331.0
2016-07-01,1880.0
2016-08-01,2035.0
2016-09-01,1907.0
2016-10-01,2874.0
2016-11-01,2865.0
2016-12-01,2702.0
2017-01-01,2504.0
2017-02-01,2616.0
2017-03-01,3105.0
2017-04-01,2937.0
2017-05-01,2891.0
2017-06-01,2467.0
2017-07-01,2427.0
2017-08-01,2508.0
2017-09-01,2311.0
2017-10-01,3325.0
2017-11-01,3223.0
2017-12-01,3238.0
2018-01-01,3185.0
2018-02-01,3209.0
2018-03-01,3914.0
2018-04-01,3399.0
2018-05-01,3909.0
2018-06-01,2762.0
2018-07-01,3163.0
2018-08-01,2650.0
2018-09-01,3540.0
2018-10-01,4207.0
2018-11-01,4008.0
2018-12-01,3697.0
2019-01-01,3589.0
2019-02-01,3592.0
2019-03-01,4193.0
2019-04-01,3461.0
2019-05-01,3941.0
2019-06-01,3372.0
2019-07-01,3514.0
2019-08-01,3087.0
2019-09-01,3795.0
2019-10-01,4555.0
2019-11-01,4565.0
2019-12-01,3905.0
2020-01-01,4036.0
2020-02-01,4101.0
2020-03-01,3915.0
2020-04-01,2832.0
2020-05-01,3368.0
2020-06-01,3769.0
2020-07-01,3733.0
2020-08-01,3448.0
2020-09-01,4156.0
2020-10-01,4780.0
2020-11-01,4449.0
2020-12-01,4131.0
2021-01-01,4193.0
2021-02-01,4140.0
2021-03-01,5103.0
2021-04-01,4615.0
2021-05-01,4757.0
2021-06-01,4614.0
2021-07-01,3698.0
2021-08-01,4299.0
2021-09-01,4492.0
2021-10-01,5213.0
2021-11-01,4950.0
2021-12-01,4907.0
2022-01-01,4935.0
2022-02-01,4585.0
2022-03-01,5166.0
2022-04-01,5257.0
2022-05-01,4753.0
2022-06-01,4618.0
2022-07-01,3459.0
2022-08-01,4530.0
2022-09-01,4047.0
2022-10-01,5046.0
2022-11-01,4464.0
2022-12-01,4425.0
2023-01-01,4358.0
2023-02-01,3976.0
2023-03-01,4735.0
2023-04-01,4409.0
2023-05-01,4965.0
2023-06-01,4465.0
2023-07-01,3875.0
2023-08-01,3831.0
2023-09-01,4541.0
2023-10-01,5414.0
2023-11-01,5346.0
2023-12-01,5059.0
2024-01-01,4920.0
2024-02-01,4839.0
2024-03-01,5680.0
2024-04-01,4717.0
2024-05-01,5459.0
2024-06-01,4450.0
2024-07-01,4444.0
2024-08-01,4624.0
2024-09-01,5169.0
2024-10-01,5558.0
2024-11-01,5517.0
2024-12-01,5399.0
2025-01-01,5779.0
2025-02-01,5934.0
2025-03-01,7017.0
2025-04-01,6003.0
2025-05-01,6840.0
2025-06-01,5951.0
2025-07-01,5829.0
2025-08-01,5013.0
2025-09-01,5444.0
