Tarih,TP_TODEDFAIZ_A22
2016-01-01,57.0
2016-02-01,63.0
2016-03-01,70.0
2016-04-01,55.0
2016-05-01,61.0
2016-06-01,61.0
2016-07-01,59.0
2016-08-01,58.0
2016-09-01,61.0
2016-10-01,46.0
2016-11-01,43.0
2016-12-01,38.0
2017-01-01,34.0
2017-02-01,31.0
2017-03-01,54.0
2017-04-01,91.0
2017-05-01,109.0
2017-06-01,173.0
2017-07-01,80.0
2017-08-01,124.0
2017-09-01,144.0
2017-10-01,87.0
2017-11-01,169.0
2017-12-01,208.0
2018-01-01,114.0
2018-02-01,136.0
2018-03-01,187.0
2018-04-01,126.0
2018-05-01,170.0
2018-06-01,200.0
2018-07-01,129.0
2018-08-01,196.0
2018-09-01,220.0
2018-10-01,187.0
2018-11-01,263.0
2018-12-01,279.0
2019-01-01,160.0
2019-02-01,129.0
2019-03-01,143.0
2019-04-01,124.0
2019-05-01,232.0
2019-06-01,220.0
2019-07-01,126.0
2019-08-01,271.0
2019-09-01,191.0
2019-10-01,134.0
2019-11-01,235.0
2019-12-01,187.0
2020-01-01,65.0
2020-02-01,77.0
2020-03-01,139.0
2020-04-01,57.0
2020-05-01,176.0
2020-06-01,118.0
2020-07-01,59.0
2020-08-01,178.0
2020-09-01,109.0
2020-10-01,46.0
2020-11-01,179.0
2020-12-01,102.0
2021-01-01,36.0
2021-02-01,179.0
2021-03-01,166.0
2021-04-01,67.0
2021-05-01,150.0
2021-06-01,113.0
2021-07-01,53.0
2021-08-01,163.0
2021-09-01,137.0
2021-10-01,54.0
2021-11-01,148.0
2021-12-01,128.0
2022-01-01,55.0
2022-02-01,149.0
2022-03-01,122.0
2022-04-01,41.0
2022-05-01,143.0
2022-06-01,135.0
2022-07-01,60.0
2022-08-01,130.0
2022-09-01,132.0
2022-10-01,48.0
2022-11-01,147.0
2022-12-01,160.0
2023-01-01,125.0
2023-02-01,170.0
2023-03-01,225.0
2023-04-01,118.0
2023-05-01,206.0
2023-06-01,264.0
2023-07-01,148.0
2023-08-01,288.0
2023-09-01,292.0
2023-10-01,185.0
2023-11-01,327.0
2023-12-01,358.0
2024-01-01,188.0
2024-02-01,222.0
2024-03-01,306.0
2024-04-01,191.0
2024-05-01,483.0
2024-06-01,406.0
2024-07-01,304.0
2024-08-01,380.0
2024-09-01,382.0
2024-10-01,294.0
2024-11-01,431.0
2024-12-01,385.0
2025-01-01,402.0
2025-02-01,405.0
2025-03-01,423.0
2025-04-01,463.0
2025-05-01,308.0
2025-06-01,304.0
2025-07-01,187.0
2025-08-01,305.0
