Tarih,TP_YIOSBAVADE_C5_D38,TP_YIOSBAVADE_C5_D38
2020-07-10,2020-28,
2020-07-17,2020-29,
2020-07-24,2020-30,
2020-07-31,2020-31,
2020-08-07,2020-32,
2020-08-14,2020-33,
2020-08-21,2020-34,
2020-08-28,2020-35,
2020-09-04,2020-36,
2020-09-11,2020-37,836.95
2020-09-18,2020-38,829.15
2020-09-25,2020-39,816.34
2020-10-02,2020-40,837.1
2020-10-09,2020-41,788.48
2020-10-16,2020-42,802.93
2020-10-23,2020-43,799.0
2020-10-30,2020-44,785.67
2020-11-06,2020-45,812.1
2020-11-13,2020-46,811.58
2020-11-20,2020-47,825.87
2020-11-27,2020-48,806.76
2020-12-04,2020-49,761.62
2020-12-11,2020-50,722.92
2020-12-18,2020-51,718.63
2020-12-25,2020-52,718.55
2021-01-01,2021-1,715.83
2021-01-08,2021-2,654.44
2021-01-15,2021-3,648.6
2021-01-22,2021-4,677.43
2021-01-29,2021-5,571.01
2021-02-05,2021-6,617.61
2021-02-12,2021-7,621.63
2021-02-19,2021-8,629.92
2021-02-26,2021-9,570.38
2021-03-05,2021-10,576.67
2021-03-12,2021-11,598.91
2021-03-19,2021-12,593.02
2021-03-26,2021-13,600.73
2021-04-02,2021-14,605.29
2021-04-09,2021-15,601.93
2021-04-16,2021-16,688.79
2021-04-23,2021-17,700.25
2021-04-30,2021-18,735.17
2021-05-07,2021-19,726.29
2021-05-14,2021-20,731.34
2021-05-21,2021-21,733.48
2021-05-28,2021-22,703.19
2021-06-04,2021-23,726.8
2021-06-11,2021-24,755.87
2021-06-18,2021-25,798.2
2021-06-25,2021-26,589.64
2021-07-02,2021-27,568.08
2021-07-09,2021-28,497.36
2021-07-16,2021-29,571.29
2021-07-23,2021-30,571.42
2021-07-30,2021-31,536.54
2021-08-06,2021-32,542.43
2021-08-13,2021-33,538.75
2021-08-20,2021-34,553.22
2021-08-27,2021-35,644.19
2021-09-03,2021-36,621.66
2021-09-10,2021-37,640.22
2021-09-17,2021-38,620.0
2021-09-24,2021-39,653.96
2021-10-01,2021-40,652.35
2021-10-08,2021-41,532.02
2021-10-15,2021-42,688.41
2021-10-22,2021-43,664.13
2021-10-29,2021-44,653.6
2021-11-05,2021-45,621.78
2021-11-12,2021-46,638.09
2021-11-19,2021-47,644.28
2021-11-26,2021-48,637.64
2021-12-03,2021-49,565.71
2021-12-10,2021-50,608.02
2021-12-17,2021-51,618.65
2021-12-24,2021-52,653.15
2021-12-31,2021-53,805.3
2022-01-07,2022-1,786.88
2022-01-14,2022-2,768.79
2022-01-21,2022-3,806.74
2022-01-28,2022-4,717.73
2022-02-04,2022-5,704.24
2022-02-11,2022-6,713.63
2022-02-18,2022-7,744.41
2022-02-25,2022-8,628.59
2022-03-04,2022-9,682.81
2022-03-11,2022-10,637.99
2022-03-18,2022-11,664.86
2022-03-25,2022-12,656.07
2022-04-01,2022-13,668.86
2022-04-08,2022-14,667.22
2022-04-15,2022-15,641.15
2022-04-22,2022-16,675.46
2022-04-29,2022-17,666.28
2022-05-06,2022-18,657.31
2022-05-13,2022-19,683.65
2022-05-20,2022-20,669.97
2022-05-27,2022-21,796.13
2022-06-03,2022-22,748.89
2022-06-10,2022-23,811.03
2022-06-17,2022-24,746.02
2022-06-24,2022-25,860.25
2022-07-01,2022-26,873.54
2022-07-08,2022-27,869.74
2022-07-15,2022-28,901.94
2022-07-22,2022-29,777.21
2022-07-29,2022-30,736.34
2022-08-05,2022-31,679.94
2022-08-12,2022-32,655.08
2022-08-19,2022-33,649.96
2022-08-26,2022-34,662.19
2022-09-02,2022-35,612.81
2022-09-09,2022-36,584.21
2022-09-16,2022-37,633.7
2022-09-23,2022-38,626.39
2022-09-30,2022-39,636.31
2022-10-07,2022-40,584.71
2022-10-14,2022-41,599.79
2022-10-21,2022-42,680.77
2022-10-28,2022-43,599.08
2022-11-04,2022-44,630.84
2022-11-11,2022-45,515.25
2022-11-18,2022-46,615.34
2022-11-25,2022-47,617.98
2022-12-02,2022-48,631.95
2022-12-09,2022-49,581.76
2022-12-16,2022-50,553.08
2022-12-23,2022-51,524.28
2022-12-30,2022-52,447.41
2023-01-06,2023-1,412.78
2023-01-13,2023-2,544.84
2023-01-20,2023-3,523.01
2023-01-27,2023-4,317.81
2023-02-03,2023-5,471.48
2023-02-10,2023-6,467.93
2023-02-17,2023-7,462.45
2023-02-24,2023-8,494.11
2023-03-03,2023-9,484.69
2023-03-10,2023-10,419.05
2023-03-17,2023-11,461.55
2023-03-24,2023-12,410.95
2023-03-31,2023-13,257.17
2023-04-07,2023-14,445.73
2023-04-14,2023-15,520.14
2023-04-21,2023-16,531.68
2023-04-28,2023-17,430.81
2023-05-05,2023-18,525.81
2023-05-12,2023-19,528.12
2023-05-19,2023-20,537.57
2023-05-26,2023-21,691.67
2023-06-02,2023-22,654.09
2023-06-09,2023-23,634.85
2023-06-16,2023-24,646.04
2023-06-23,2023-25,660.26
2023-06-30,2023-26,647.95
2023-07-07,2023-27,754.29
2023-07-14,2023-28,496.77
2023-07-21,2023-29,618.68
2023-07-28,2023-30,594.75
2023-08-04,2023-31,601.04
2023-08-11,2023-32,569.14
2023-08-18,2023-33,746.35
2023-08-25,2023-34,736.71
2023-09-01,2023-35,530.47
2023-09-08,2023-36,531.81
2023-09-15,2023-37,494.83
2023-09-22,2023-38,522.33
2023-09-29,2023-39,516.72
2023-10-06,2023-40,467.6
2023-10-13,2023-41,573.45
2023-10-20,2023-42,587.54
2023-10-27,2023-43,504.5
2023-11-03,2023-44,498.99
2023-11-10,2023-45,632.3
2023-11-17,2023-46,713.26
2023-11-24,2023-47,493.62
2023-12-01,2023-48,410.78
2023-12-08,2023-49,489.59
2023-12-15,2023-50,546.08
2023-12-22,2023-51,532.64
2023-12-29,2023-52,506.67
2024-01-05,2024-1,785.64
2024-01-12,2024-2,678.3
2024-01-19,2024-3,701.8
2024-01-26,2024-4,714.8
2024-02-02,2024-5,651.9
2024-02-09,2024-6,580.91
2024-02-16,2024-7,539.99
2024-02-23,2024-8,631.09
2024-03-01,2024-9,723.85
2024-03-08,2024-10,858.35
2024-03-15,2024-11,887.95
2024-03-22,2024-12,1043.49
2024-03-29,2024-13,1042.5
2024-04-05,2024-14,2123.58
2024-04-12,2024-15,2028.99
2024-04-19,2024-16,2711.62
2024-04-26,2024-17,2516.01
2024-05-03,2024-18,2972.53
2024-05-10,2024-19,3403.28
2024-05-17,2024-20,3576.12
2024-05-24,2024-21,3579.31
2024-05-31,2024-22,3613.61
2024-06-07,2024-23,4427.1
2024-06-14,2024-24,4620.63
2024-06-21,2024-25,4892.46
2024-06-28,2024-26,4618.89
2024-07-05,2024-27,5167.07
2024-07-12,2024-28,5232.17
2024-07-19,2024-29,4884.43
2024-07-26,2024-30,4898.19
2024-08-02,2024-31,4489.8
2024-08-09,2024-32,4022.31
2024-08-16,2024-33,3705.24
2024-08-23,2024-34,3708.36
2024-08-30,2024-35,3653.61
2024-09-06,2024-36,3106.03
2024-09-13,2024-37,3257.48
2024-09-20,2024-38,3289.12
2024-09-27,2024-39,3288.12
2024-10-04,2024-40,2752.19
2024-10-11,2024-41,3155.25
2024-10-18,2024-42,3428.64
2024-10-25,2024-43,3459.04
2024-11-01,2024-44,3472.88
2024-11-08,2024-45,3311.74
2024-11-15,2024-46,3406.27
2024-11-22,2024-47,3297.9
2024-11-29,2024-48,3170.23
2024-12-06,2024-49,3954.31
2024-12-13,2024-50,4012.6
2024-12-20,2024-51,2952.45
2024-12-27,2024-52,3023.17
2025-01-03,2025-1,2995.74
2025-01-10,2025-2,2941.23
2025-01-17,2025-3,3091.1
2025-01-24,2025-4,10462.01
2025-01-31,2025-5,10384.25
2025-02-07,2025-6,10594.72
2025-02-14,2025-7,9801.21
2025-02-21,2025-8,9839.04
2025-02-28,2025-9,9956.08
2025-03-07,2025-10,10464.37
2025-03-14,2025-11,10641.52
2025-03-21,2025-12,10680.45
2025-03-28,2025-13,10744.15
2025-04-04,2025-14,8565.17
2025-04-11,2025-15,8233.67
2025-04-18,2025-16,8232.74
2025-04-25,2025-17,2970.3
2025-05-02,2025-18,3015.43
2025-05-09,2025-19,3052.62
2025-05-16,2025-20,3119.44
2025-05-23,2025-21,10135.01
2025-05-30,2025-22,10029.45
2025-06-06,2025-23,10078.32
2025-06-13,2025-24,10076.58
2025-06-20,2025-25,10021.0
2025-06-27,2025-26,10118.4
2025-07-04,2025-27,10375.04
2025-07-11,2025-28,10434.66
2025-07-18,2025-29,10432.56
2025-07-25,2025-30,10484.95
2025-08-01,2025-31,13269.05
2025-08-08,2025-32,13232.0
2025-08-15,2025-33,13103.52
2025-08-22,2025-34,13040.56
2025-08-29,2025-35,13097.42
2025-09-05,2025-36,13210.67
2025-09-12,2025-37,13108.04
2025-09-19,2025-38,13154.52
2025-09-26,2025-39,13908.55
2025-10-03,2025-40,13900.08
2025-10-10,2025-41,14025.08
