Tarih,TP_YIOSBAVADE_C3_D3,TP_YIOSBAVADE_C3_D3
2020-07-10,2020-28,
2020-07-17,2020-29,
2020-07-24,2020-30,
2020-07-31,2020-31,
2020-08-07,2020-32,
2020-08-14,2020-33,
2020-08-21,2020-34,
2020-08-28,2020-35,
2020-09-04,2020-36,
2020-09-11,2020-37,4361.54
2020-09-18,2020-38,4358.21
2020-09-25,2020-39,4360.41
2020-10-02,2020-40,4374.1
2020-10-09,2020-41,4367.6
2020-10-16,2020-42,4351.42
2020-10-23,2020-43,4327.92
2020-10-30,2020-44,4328.74
2020-11-06,2020-45,4368.31
2020-11-13,2020-46,4388.43
2020-11-20,2020-47,4522.71
2020-11-27,2020-48,4536.08
2020-12-04,2020-49,4547.26
2020-12-11,2020-50,4534.43
2020-12-18,2020-51,4519.94
2020-12-25,2020-52,4677.34
2021-01-01,2021-1,4687.11
2021-01-08,2021-2,4698.04
2021-01-15,2021-3,4710.0
2021-01-22,2021-4,4686.88
2021-01-29,2021-5,4687.94
2021-02-05,2021-6,4552.4
2021-02-12,2021-7,4404.11
2021-02-19,2021-8,4107.69
2021-02-26,2021-9,3660.97
2021-03-05,2021-10,3692.26
2021-03-12,2021-11,4032.08
2021-03-19,2021-12,3759.79
2021-03-26,2021-13,3860.19
2021-04-02,2021-14,3866.32
2021-04-09,2021-15,3869.36
2021-04-16,2021-16,3863.3
2021-04-23,2021-17,3855.25
2021-04-30,2021-18,4111.4
2021-05-07,2021-19,4096.37
2021-05-14,2021-20,4260.93
2021-05-21,2021-21,4234.47
2021-05-28,2021-22,3661.06
2021-06-04,2021-23,3653.14
2021-06-11,2021-24,3913.81
2021-06-18,2021-25,3660.46
2021-06-25,2021-26,3615.7
2021-07-02,2021-27,3862.69
2021-07-09,2021-28,3744.84
2021-07-16,2021-29,3348.91
2021-07-23,2021-30,3348.76
2021-07-30,2021-31,3248.0
2021-08-06,2021-32,3399.01
2021-08-13,2021-33,3384.81
2021-08-20,2021-34,3384.41
2021-08-27,2021-35,3376.64
2021-09-03,2021-36,3377.05
2021-09-10,2021-37,3378.72
2021-09-17,2021-38,3423.86
2021-09-24,2021-39,3389.73
2021-10-01,2021-40,3416.66
2021-10-08,2021-41,3461.22
2021-10-15,2021-42,3401.3
2021-10-22,2021-43,3419.23
2021-10-29,2021-44,3432.53
2021-11-05,2021-45,3456.74
2021-11-12,2021-46,3785.88
2021-11-19,2021-47,3604.36
2021-11-26,2021-48,3605.26
2021-12-03,2021-49,4039.71
2021-12-10,2021-50,4016.15
2021-12-17,2021-51,3986.8
2021-12-24,2021-52,3823.77
2021-12-31,2021-53,3855.99
2022-01-07,2022-1,4060.59
2022-01-14,2022-2,4239.28
2022-01-21,2022-3,4209.53
2022-01-28,2022-4,4364.42
2022-02-04,2022-5,5352.31
2022-02-11,2022-6,6624.29
2022-02-18,2022-7,7411.49
2022-02-25,2022-8,7795.93
2022-03-04,2022-9,7797.41
2022-03-11,2022-10,7515.64
2022-03-18,2022-11,7459.84
2022-03-25,2022-12,7345.34
2022-04-01,2022-13,7909.53
2022-04-08,2022-14,7944.64
2022-04-15,2022-15,8179.47
2022-04-22,2022-16,8238.34
2022-04-29,2022-17,8506.13
2022-05-06,2022-18,8643.37
2022-05-13,2022-19,8588.28
2022-05-20,2022-20,8516.65
2022-05-27,2022-21,8699.74
2022-06-03,2022-22,9108.89
2022-06-10,2022-23,9124.4
2022-06-17,2022-24,9187.81
2022-06-24,2022-25,10201.32
2022-07-01,2022-26,10466.3
2022-07-08,2022-27,10627.47
2022-07-15,2022-28,11246.96
2022-07-22,2022-29,11484.56
2022-07-29,2022-30,11913.89
2022-08-05,2022-31,12220.11
2022-08-12,2022-32,12693.96
2022-08-19,2022-33,12812.97
2022-08-26,2022-34,13321.03
2022-09-02,2022-35,14166.77
2022-09-09,2022-36,15142.71
2022-09-16,2022-37,17986.3
2022-09-23,2022-38,18170.37
2022-09-30,2022-39,21695.41
2022-10-07,2022-40,23870.21
2022-10-14,2022-41,26080.47
2022-10-21,2022-42,28464.81
2022-10-28,2022-43,30583.61
2022-11-04,2022-44,30806.7
2022-11-11,2022-45,32950.74
2022-11-18,2022-46,33038.57
2022-11-25,2022-47,34376.22
2022-12-02,2022-48,33907.14
2022-12-09,2022-49,34523.74
2022-12-16,2022-50,35323.97
2022-12-23,2022-51,35659.08
2022-12-30,2022-52,35653.87
2023-01-06,2023-1,36280.3
2023-01-13,2023-2,37152.31
2023-01-20,2023-3,37581.75
2023-01-27,2023-4,38541.52
2023-02-03,2023-5,39044.84
2023-02-10,2023-6,40719.32
2023-02-17,2023-7,42696.59
2023-02-24,2023-8,45543.77
2023-03-03,2023-9,49468.88
2023-03-10,2023-10,49682.06
2023-03-17,2023-11,48886.52
2023-03-24,2023-12,49397.3
2023-03-31,2023-13,48238.91
2023-04-07,2023-14,47010.65
2023-04-14,2023-15,47058.14
2023-04-21,2023-16,48232.52
2023-04-28,2023-17,45986.52
2023-05-05,2023-18,45792.29
2023-05-12,2023-19,46394.62
2023-05-19,2023-20,45874.72
2023-05-26,2023-21,45654.59
2023-06-02,2023-22,44913.65
2023-06-09,2023-23,44785.68
2023-06-16,2023-24,44604.62
2023-06-23,2023-25,44536.25
2023-06-30,2023-26,44716.77
2023-07-07,2023-27,44965.72
2023-07-14,2023-28,45843.98
2023-07-21,2023-29,46524.51
2023-07-28,2023-30,46495.86
2023-08-04,2023-31,43961.21
2023-08-11,2023-32,45566.16
2023-08-18,2023-33,43981.86
2023-08-25,2023-34,42034.04
2023-09-01,2023-35,42625.26
2023-09-08,2023-36,43037.92
2023-09-15,2023-37,42817.81
2023-09-22,2023-38,43709.44
2023-09-29,2023-39,45562.52
2023-10-06,2023-40,47542.16
2023-10-13,2023-41,45479.44
2023-10-20,2023-42,48094.91
2023-10-27,2023-43,46984.35
2023-11-03,2023-44,48275.47
2023-11-10,2023-45,50283.06
2023-11-17,2023-46,50501.68
2023-11-24,2023-47,49404.05
2023-12-01,2023-48,48930.36
2023-12-08,2023-49,50357.1
2023-12-15,2023-50,50041.88
2023-12-22,2023-51,49975.82
2023-12-29,2023-52,50416.55
2024-01-05,2024-1,48865.61
2024-01-12,2024-2,51521.85
2024-01-19,2024-3,53039.68
2024-01-26,2024-4,53741.04
2024-02-02,2024-5,53219.57
2024-02-09,2024-6,52866.71
2024-02-16,2024-7,50384.8
2024-02-23,2024-8,51075.05
2024-03-01,2024-9,49922.86
2024-03-08,2024-10,52024.85
2024-03-15,2024-11,54155.65
2024-03-22,2024-12,58044.95
2024-03-29,2024-13,57608.92
2024-04-05,2024-14,58073.89
2024-04-12,2024-15,59187.68
2024-04-19,2024-16,58488.93
2024-04-26,2024-17,58161.91
2024-05-03,2024-18,58256.5
2024-05-10,2024-19,59910.82
2024-05-17,2024-20,61164.34
2024-05-24,2024-21,61238.85
2024-05-31,2024-22,60683.92
2024-06-07,2024-23,60939.12
2024-06-14,2024-24,60745.05
2024-06-21,2024-25,61070.23
2024-06-28,2024-26,62306.39
2024-07-05,2024-27,64045.11
2024-07-12,2024-28,63374.53
2024-07-19,2024-29,66316.09
2024-07-26,2024-30,66734.78
2024-08-02,2024-31,67410.66
2024-08-09,2024-32,69047.17
2024-08-16,2024-33,69500.28
2024-08-23,2024-34,69968.34
2024-08-30,2024-35,70305.18
2024-09-06,2024-36,69774.65
2024-09-13,2024-37,68189.86
2024-09-20,2024-38,69205.42
2024-09-27,2024-39,66006.25
2024-10-04,2024-40,66071.41
2024-10-11,2024-41,72656.71
2024-10-18,2024-42,74140.21
2024-10-25,2024-43,74830.06
2024-11-01,2024-44,74190.33
2024-11-08,2024-45,76386.45
2024-11-15,2024-46,75546.58
2024-11-22,2024-47,75209.12
2024-11-29,2024-48,76487.9
2024-12-06,2024-49,77483.57
2024-12-13,2024-50,77358.24
2024-12-20,2024-51,78260.2
2024-12-27,2024-52,79090.38
2025-01-03,2025-1,81371.37
2025-01-10,2025-2,79201.34
2025-01-17,2025-3,76920.64
2025-01-24,2025-4,74188.12
2025-01-31,2025-5,75144.81
2025-02-07,2025-6,79317.53
2025-02-14,2025-7,78900.44
2025-02-21,2025-8,80340.76
2025-02-28,2025-9,81813.54
2025-03-07,2025-10,85192.16
2025-03-14,2025-11,84601.84
2025-03-21,2025-12,86773.85
2025-03-28,2025-13,88590.34
2025-04-04,2025-14,88062.29
2025-04-11,2025-15,89288.38
2025-04-18,2025-16,89694.66
2025-04-25,2025-17,94072.93
2025-05-02,2025-18,94712.25
2025-05-09,2025-19,92026.52
2025-05-16,2025-20,95373.23
2025-05-23,2025-21,96402.1
2025-05-30,2025-22,97158.7
2025-06-06,2025-23,96831.24
2025-06-13,2025-24,97904.75
2025-06-20,2025-25,98128.6
2025-06-27,2025-26,101834.44
2025-07-04,2025-27,99307.42
2025-07-11,2025-28,100097.22
2025-07-18,2025-29,97615.39
2025-07-25,2025-30,105453.62
2025-08-01,2025-31,104461.7
2025-08-08,2025-32,105469.46
2025-08-15,2025-33,110513.31
2025-08-22,2025-34,111518.5
2025-08-29,2025-35,111600.68
2025-09-05,2025-36,111075.58
2025-09-12,2025-37,114571.35
2025-09-19,2025-38,118076.55
2025-09-26,2025-39,117532.45
2025-10-03,2025-40,116831.26
2025-10-10,2025-41,109232.13
