Tarih,TP_GY5_N2
2015-07-01,108.5
2015-08-01,109.2
2015-09-01,106.1
2015-10-01,105.4
2015-11-01,106.2
2015-12-01,103.4
2016-01-01,105.7
2016-02-01,108.5
2016-03-01,110.0
2016-04-01,116.5
2016-05-01,114.9
2016-06-01,114.5
2016-07-01,114.1
2016-08-01,108.7
2016-09-01,106.5
2016-10-01,105.8
2016-11-01,105.3
2016-12-01,108.2
2017-01-01,107.9
2017-02-01,112.5
2017-03-01,120.9
2017-04-01,113.8
2017-05-01,114.5
2017-06-01,114.9
2017-07-01,112.9
2017-08-01,112.1
2017-09-01,115.0
2017-10-01,113.1
2017-11-01,108.4
2017-12-01,108.7
2018-01-01,111.0
2018-02-01,113.0
2018-03-01,111.4
2018-04-01,119.8
2018-05-01,115.1
2018-06-01,112.4
2018-07-01,111.1
2018-08-01,100.7
2018-09-01,99.0
2018-10-01,94.8
2018-11-01,98.0
2018-12-01,94.8
2019-01-01,100.8
2019-02-01,103.3
2019-03-01,107.4
2019-04-01,106.6
2019-05-01,107.4
2019-06-01,105.1
2019-07-01,105.6
2019-08-01,106.1
2019-09-01,104.5
2019-10-01,104.7
2019-11-01,103.5
2019-12-01,105.2
2020-01-01,106.5
2020-02-01,108.9
2020-03-01,104.2
2020-04-01,86.5
2020-05-01,95.3
2020-06-01,101.8
2020-07-01,106.2
2020-08-01,107.3
2020-09-01,106.2
2020-10-01,107.1
2020-11-01,105.0
2020-12-01,104.7
2021-01-01,108.1
2021-02-01,112.1
2021-03-01,112.4
2021-04-01,113.7
2021-05-01,110.6
2021-06-01,113.6
2021-07-01,116.4
2021-08-01,115.7
2021-09-01,115.2
2021-10-01,111.6
2021-11-01,110.6
2021-12-01,114.2
2022-01-01,115.6
2022-02-01,115.8
2022-03-01,115.8
2022-04-01,113.9
2022-05-01,117.1
2022-06-01,117.8
2022-07-01,113.4
2022-08-01,112.5
2022-09-01,108.5
2022-10-01,106.6
2022-11-01,107.1
2022-12-01,106.4
2023-01-01,106.0
2023-02-01,111.1
2023-03-01,106.1
2023-04-01,113.0
2023-05-01,112.3
2023-06-01,115.7
2023-07-01,111.3
2023-08-01,111.0
2023-09-01,112.5
2023-10-01,109.5
2023-11-01,111.0
2023-12-01,108.8
2024-01-01,107.2
2024-02-01,108.4
2024-03-01,108.8
2024-04-01,109.1
2024-05-01,109.6
2024-06-01,108.0
2024-07-01,105.7
2024-08-01,101.9
2024-09-01,101.6
2024-10-01,100.6
2024-11-01,100.8
2024-12-01,101.9
2025-01-01,99.5
2025-02-01,103.6
2025-03-01,104.3
2025-04-01,102.1
2025-05-01,103.3
2025-06-01,102.1
2025-07-01,102.2
2025-08-01,100.2
2025-09-01,99.3
