Tarih,TP_KTF11,TP_KTF11
2006-08-18,2006-33,22.51
2006-08-25,2006-34,22.22
2006-09-01,2006-35,21.41
2006-09-08,2006-36,21.78
2006-09-15,2006-37,21.54
2006-09-22,2006-38,21.45
2006-09-29,2006-39,21.3
2006-10-06,2006-40,21.55
2006-10-13,2006-41,21.66
2006-10-20,2006-42,21.77
2006-10-27,2006-43,22.04
2006-11-03,2006-44,22.06
2006-11-10,2006-45,21.95
2006-11-17,2006-46,21.79
2006-11-24,2006-47,21.5
2006-12-01,2006-48,21.45
2006-12-08,2006-49,20.88
2006-12-15,2006-50,21.04
2006-12-22,2006-51,20.81
2006-12-29,2006-52,20.46
2007-01-05,2007-1,20.52
2007-01-12,2007-2,21.53
2007-01-19,2007-3,21.52
2007-01-26,2007-4,21.51
2007-02-02,2007-5,21.42
2007-02-09,2007-6,21.74
2007-02-16,2007-7,21.26
2007-02-23,2007-8,20.93
2007-03-02,2007-9,20.53
2007-03-09,2007-10,20.6
2007-03-16,2007-11,20.27
2007-03-23,2007-12,20.11
2007-03-30,2007-13,19.8
2007-04-06,2007-14,19.85
2007-04-13,2007-15,19.92
2007-04-20,2007-16,19.73
2007-04-27,2007-17,19.7
2007-05-04,2007-18,19.64
2007-05-11,2007-19,19.89
2007-05-18,2007-20,19.69
2007-05-25,2007-21,19.53
2007-06-01,2007-22,19.21
2007-06-08,2007-23,19.57
2007-06-15,2007-24,19.78
2007-06-22,2007-25,19.53
2007-06-29,2007-26,19.54
2007-07-06,2007-27,19.46
2007-07-13,2007-28,19.48
2007-07-20,2007-29,19.44
2007-07-27,2007-30,18.98
2007-08-03,2007-31,18.72
2007-08-10,2007-32,18.75
2007-08-17,2007-33,18.6
2007-08-24,2007-34,18.53
2007-08-31,2007-35,18.48
2007-09-07,2007-36,18.32
2007-09-14,2007-37,18.59
2007-09-21,2007-38,18.56
2007-09-28,2007-39,18.41
2007-10-05,2007-40,18.43
2007-10-12,2007-41,18.41
2007-10-19,2007-42,18.39
2007-10-26,2007-43,18.15
2007-11-02,2007-44,17.86
2007-11-09,2007-45,18.0
2007-11-16,2007-46,17.9
2007-11-23,2007-47,17.43
2007-11-30,2007-48,17.04
2007-12-07,2007-49,16.99
2007-12-14,2007-50,16.85
2007-12-21,2007-51,16.77
2007-12-28,2007-52,16.53
2008-01-04,2008-1,16.46
2008-01-11,2008-2,17.03
2008-01-18,2008-3,16.83
2008-01-25,2008-4,16.85
2008-02-01,2008-5,16.88
2008-02-08,2008-6,16.85
2008-02-15,2008-7,16.98
2008-02-22,2008-8,17.03
2008-02-29,2008-9,16.96
2008-03-07,2008-10,17.51
2008-03-14,2008-11,17.28
2008-03-21,2008-12,17.99
2008-03-28,2008-13,18.25
2008-04-04,2008-14,18.48
2008-04-11,2008-15,18.99
2008-04-18,2008-16,18.97
2008-04-25,2008-17,18.61
2008-05-02,2008-18,18.57
2008-05-09,2008-19,19.02
2008-05-16,2008-20,18.86
2008-05-23,2008-21,18.72
2008-05-30,2008-22,18.71
2008-06-06,2008-23,18.8
2008-06-13,2008-24,18.96
2008-06-20,2008-25,19.16
2008-06-27,2008-26,19.22
2008-07-04,2008-27,19.5
2008-07-11,2008-28,20.25
2008-07-18,2008-29,20.31
2008-07-25,2008-30,20.13
2008-08-01,2008-31,19.83
2008-08-08,2008-32,20.03
2008-08-15,2008-33,20.0
2008-08-22,2008-34,19.88
2008-08-29,2008-35,19.7
2008-09-05,2008-36,19.78
2008-09-12,2008-37,19.56
2008-09-19,2008-38,19.52
2008-09-26,2008-39,19.35
2008-10-03,2008-40,19.46
2008-10-10,2008-41,19.73
2008-10-17,2008-42,20.82
2008-10-24,2008-43,21.14
2008-10-31,2008-44,21.85
2008-11-07,2008-45,23.58
2008-11-14,2008-46,24.3
2008-11-21,2008-47,24.36
2008-11-28,2008-48,23.95
2008-12-05,2008-49,24.06
2008-12-12,2008-50,23.58
2008-12-19,2008-51,21.44
2008-12-26,2008-52,22.54
2009-01-02,2009-1,21.59
2009-01-09,2009-2,22.85
2009-01-16,2009-3,22.17
2009-01-23,2009-4,21.11
2009-01-30,2009-5,20.53
2009-02-06,2009-6,21.36
2009-02-13,2009-7,21.29
2009-02-20,2009-8,20.45
2009-02-27,2009-9,20.41
2009-03-06,2009-10,20.27
2009-03-13,2009-11,20.74
2009-03-20,2009-12,20.09
2009-03-27,2009-13,19.18
2009-04-03,2009-14,18.66
2009-04-10,2009-15,18.72
2009-04-17,2009-16,18.77
2009-04-24,2009-17,18.36
2009-05-01,2009-18,18.47
2009-05-08,2009-19,18.48
2009-05-15,2009-20,18.3
2009-05-22,2009-21,18.43
2009-05-29,2009-22,17.97
2009-06-05,2009-23,18.22
2009-06-12,2009-24,17.88
2009-06-19,2009-25,18.23
2009-06-26,2009-26,18.64
2009-07-03,2009-27,18.16
2009-07-10,2009-28,18.54
2009-07-17,2009-29,18.46
2009-07-24,2009-30,18.25
2009-07-31,2009-31,17.71
2009-08-07,2009-32,17.6
2009-08-14,2009-33,16.95
2009-08-21,2009-34,16.8
2009-08-28,2009-35,16.22
2009-09-04,2009-36,15.96
2009-09-11,2009-37,15.97
2009-09-18,2009-38,15.56
2009-09-25,2009-39,15.17
2009-10-02,2009-40,14.9
2009-10-09,2009-41,15.31
2009-10-16,2009-42,15.31
2009-10-23,2009-43,15.06
2009-10-30,2009-44,14.53
2009-11-06,2009-45,14.36
2009-11-13,2009-46,14.39
2009-11-20,2009-47,13.71
2009-11-27,2009-48,13.8
2009-12-04,2009-49,13.7
2009-12-11,2009-50,13.19
2009-12-18,2009-51,12.96
2009-12-25,2009-52,12.68
2010-01-01,2010-1,12.36
2010-01-08,2010-2,12.88
2010-01-15,2010-3,13.73
2010-01-22,2010-4,13.63
2010-01-29,2010-5,13.31
2010-02-05,2010-6,13.63
2010-02-12,2010-7,13.36
2010-02-19,2010-8,13.22
2010-02-26,2010-9,12.88
2010-03-05,2010-10,12.99
2010-03-12,2010-11,12.92
2010-03-19,2010-12,12.74
2010-03-26,2010-13,12.26
2010-04-02,2010-14,11.98
2010-04-09,2010-15,12.16
2010-04-16,2010-16,12.04
2010-04-23,2010-17,12.05
2010-04-30,2010-18,11.83
2010-05-07,2010-19,11.31
2010-05-14,2010-20,12.02
2010-05-21,2010-21,11.89
2010-05-28,2010-22,11.74
2010-06-04,2010-23,11.7
2010-06-11,2010-24,11.88
2010-06-18,2010-25,11.77
2010-06-25,2010-26,11.65
2010-07-02,2010-27,11.29
2010-07-09,2010-28,11.69
2010-07-16,2010-29,11.65
2010-07-23,2010-30,11.36
2010-07-30,2010-31,10.93
2010-08-06,2010-32,11.0
2010-08-13,2010-33,10.95
2010-08-20,2010-34,10.81
2010-08-27,2010-35,10.72
2010-09-03,2010-36,10.63
2010-09-10,2010-37,10.86
2010-09-17,2010-38,10.92
2010-09-24,2010-39,10.74
2010-10-01,2010-40,10.63
2010-10-08,2010-41,10.8
2010-10-15,2010-42,10.7
2010-10-22,2010-43,10.46
2010-10-29,2010-44,10.42
2010-11-05,2010-45,10.43
2010-11-12,2010-46,10.38
2010-11-19,2010-47,
2010-11-26,2010-48,9.96
2010-12-03,2010-49,9.39
2010-12-10,2010-50,10.1
2010-12-17,2010-51,9.86
2010-12-24,2010-52,9.64
2010-12-31,2010-53,9.36
2011-01-07,2011-1,10.01
2011-01-14,2011-2,10.42
2011-01-21,2011-3,10.43
2011-01-28,2011-4,10.24
2011-02-04,2011-5,10.44
2011-02-11,2011-6,10.49
2011-02-18,2011-7,10.48
2011-02-25,2011-8,10.36
2011-03-04,2011-9,10.41
2011-03-11,2011-10,10.59
2011-03-18,2011-11,10.54
2011-03-25,2011-12,10.5
2011-04-01,2011-13,10.49
2011-04-08,2011-14,10.73
2011-04-15,2011-15,10.82
2011-04-22,2011-16,10.75
2011-04-29,2011-17,10.67
2011-05-06,2011-18,10.85
2011-05-13,2011-19,11.0
2011-05-20,2011-20,10.97
2011-05-27,2011-21,10.98
2011-06-03,2011-22,11.09
2011-06-10,2011-23,11.4
2011-06-17,2011-24,11.47
2011-06-24,2011-25,11.51
2011-07-01,2011-26,11.35
2011-07-08,2011-27,12.6
2011-07-15,2011-28,12.8
2011-07-22,2011-29,12.9
2011-07-29,2011-30,12.75
2011-08-05,2011-31,13.05
2011-08-12,2011-32,12.82
2011-08-19,2011-33,12.77
2011-08-26,2011-34,12.63
2011-09-02,2011-35,13.17
2011-09-09,2011-36,13.05
2011-09-16,2011-37,13.02
2011-09-23,2011-38,12.93
2011-09-30,2011-39,12.75
2011-10-07,2011-40,12.9
2011-10-14,2011-41,12.89
2011-10-21,2011-42,12.87
2011-10-28,2011-43,13.21
2011-11-04,2011-44,13.85
2011-11-11,2011-45,14.56
2011-11-18,2011-46,13.23
2011-11-25,2011-47,12.05
2011-12-02,2011-48,11.39
2011-12-09,2011-49,11.96
2011-12-16,2011-50,12.47
2011-12-23,2011-51,12.42
2011-12-30,2011-52,11.85
2012-01-06,2012-1,13.9
2012-01-13,2012-2,15.48
2012-01-20,2012-3,15.51
2012-01-27,2012-4,15.27
2012-02-03,2012-5,15.11
2012-02-10,2012-6,15.25
2012-02-17,2012-7,14.68
2012-02-24,2012-8,14.24
2012-03-02,2012-9,13.95
2012-03-09,2012-10,13.88
2012-03-16,2012-11,13.24
2012-03-23,2012-12,13.15
2012-03-30,2012-13,12.75
2012-04-06,2012-14,13.21
2012-04-13,2012-15,13.49
2012-04-20,2012-16,13.19
2012-04-27,2012-17,12.77
2012-05-04,2012-18,12.75
2012-05-11,2012-19,13.36
2012-05-18,2012-20,13.1
2012-05-25,2012-21,12.74
2012-06-01,2012-22,12.38
2012-06-08,2012-23,13.04
2012-06-15,2012-24,13.53
2012-06-22,2012-25,13.32
2012-06-29,2012-26,12.66
2012-07-06,2012-27,13.08
2012-07-13,2012-28,13.24
2012-07-20,2012-29,13.54
2012-07-27,2012-30,13.66
2012-08-03,2012-31,13.66
2012-08-10,2012-32,13.74
2012-08-17,2012-33,13.35
2012-08-24,2012-34,13.28
2012-08-31,2012-35,12.86
2012-09-07,2012-36,13.3
2012-09-14,2012-37,13.22
2012-09-21,2012-38,12.89
2012-09-28,2012-39,12.57
2012-10-05,2012-40,12.86
2012-10-12,2012-41,12.86
2012-10-19,2012-42,12.74
2012-10-26,2012-43,12.62
2012-11-02,2012-44,12.46
2012-11-09,2012-45,12.47
2012-11-16,2012-46,12.09
2012-11-23,2012-47,11.86
2012-11-30,2012-48,11.45
2012-12-07,2012-49,11.35
2012-12-14,2012-50,11.1
2012-12-21,2012-51,10.94
2012-12-28,2012-52,10.66
2013-01-04,2013-1,10.56
2013-01-11,2013-2,11.16
2013-01-18,2013-3,11.34
2013-01-25,2013-4,11.17
2013-02-01,2013-5,11.1
2013-02-08,2013-6,11.15
2013-02-15,2013-7,10.68
2013-02-22,2013-8,10.72
2013-03-01,2013-9,10.54
2013-03-08,2013-10,10.53
2013-03-15,2013-11,10.47
2013-03-22,2013-12,10.5
2013-03-29,2013-13,10.36
2013-04-05,2013-14,10.52
2013-04-12,2013-15,10.37
2013-04-19,2013-16,10.23
2013-04-26,2013-17,10.06
2013-05-03,2013-18,10.08
2013-05-10,2013-19,10.29
2013-05-17,2013-20,9.88
2013-05-24,2013-21,9.68
2013-05-31,2013-22,9.48
2013-06-07,2013-23,9.57
2013-06-14,2013-24,9.71
2013-06-21,2013-25,9.67
2013-06-28,2013-26,9.48
2013-07-05,2013-27,9.78
2013-07-12,2013-28,10.21
2013-07-19,2013-29,10.22
2013-07-26,2013-30,10.18
2013-08-02,2013-31,10.26
2013-08-09,2013-32,10.58
2013-08-16,2013-33,10.68
2013-08-23,2013-34,10.78
2013-08-30,2013-35,10.69
2013-09-06,2013-36,11.41
2013-09-13,2013-37,11.56
2013-09-20,2013-38,11.66
2013-09-27,2013-39,11.21
2013-10-04,2013-40,11.54
2013-10-11,2013-41,11.74
2013-10-18,2013-42,12.13
2013-10-25,2013-43,11.84
2013-11-01,2013-44,11.67
2013-11-08,2013-45,11.8
2013-11-15,2013-46,11.35
2013-11-22,2013-47,10.86
2013-11-29,2013-48,10.74
2013-12-06,2013-49,11.04
2013-12-13,2013-50,11.02
2013-12-20,2013-51,10.99
2013-12-27,2013-52,10.9
2014-01-03,2014-1,10.71
2014-01-10,2014-2,13.25
2014-01-17,2014-3,13.19
2014-01-24,2014-4,13.28
2014-01-31,2014-5,13.77
2014-02-07,2014-6,15.04
2014-02-14,2014-7,15.16
2014-02-21,2014-8,15.14
2014-02-28,2014-9,15.03
2014-03-07,2014-10,15.34
2014-03-14,2014-11,15.2
2014-03-21,2014-12,15.16
2014-03-28,2014-13,15.14
2014-04-04,2014-14,15.18
2014-04-11,2014-15,15.07
2014-04-18,2014-16,14.75
2014-04-25,2014-17,14.64
2014-05-02,2014-18,14.49
2014-05-09,2014-19,14.65
2014-05-16,2014-20,14.34
2014-05-23,2014-21,14.16
2014-05-30,2014-22,13.8
2014-06-06,2014-23,13.95
2014-06-13,2014-24,13.52
2014-06-20,2014-25,13.22
2014-06-27,2014-26,12.53
2014-07-04,2014-27,12.36
2014-07-11,2014-28,12.85
2014-07-18,2014-29,12.99
2014-07-25,2014-30,12.94
2014-08-01,2014-31,12.79
2014-08-08,2014-32,12.98
2014-08-15,2014-33,12.95
2014-08-22,2014-34,12.83
2014-08-29,2014-35,12.65
2014-09-05,2014-36,12.92
2014-09-12,2014-37,12.81
2014-09-19,2014-38,12.62
2014-09-26,2014-39,12.51
2014-10-03,2014-40,12.39
2014-10-10,2014-41,12.66
2014-10-17,2014-42,12.63
2014-10-24,2014-43,12.29
2014-10-31,2014-44,11.89
2014-11-07,2014-45,12.73
2014-11-14,2014-46,12.45
2014-11-21,2014-47,12.23
2014-11-28,2014-48,12.09
2014-12-05,2014-49,12.69
2014-12-12,2014-50,12.7
2014-12-19,2014-51,12.51
2014-12-26,2014-52,12.5
2015-01-02,2015-1,12.33
2015-01-09,2015-2,13.05
2015-01-16,2015-3,13.06
2015-01-23,2015-4,13.03
2015-01-30,2015-5,13.06
2015-02-06,2015-6,13.09
2015-02-13,2015-7,13.1
2015-02-20,2015-8,13.1
2015-02-27,2015-9,12.94
2015-03-06,2015-10,12.81
2015-03-13,2015-11,12.6
2015-03-20,2015-12,12.54
2015-03-27,2015-13,12.36
2015-04-03,2015-14,12.56
2015-04-10,2015-15,12.91
2015-04-17,2015-16,12.88
2015-04-24,2015-17,12.82
2015-05-01,2015-18,12.89
2015-05-08,2015-19,13.28
2015-05-15,2015-20,13.35
2015-05-22,2015-21,13.14
2015-05-29,2015-22,13.03
2015-06-05,2015-23,13.23
2015-06-12,2015-24,13.47
2015-06-19,2015-25,13.49
2015-06-26,2015-26,13.58
2015-07-03,2015-27,13.46
2015-07-10,2015-28,13.71
2015-07-17,2015-29,13.71
2015-07-24,2015-30,13.61
2015-07-31,2015-31,13.52
2015-08-07,2015-32,13.9
2015-08-14,2015-33,14.09
2015-08-21,2015-34,14.02
2015-08-28,2015-35,14.55
2015-09-04,2015-36,14.85
2015-09-11,2015-37,15.2
2015-09-18,2015-38,15.16
2015-09-25,2015-39,15.58
2015-10-02,2015-40,15.68
2015-10-09,2015-41,15.98
2015-10-16,2015-42,15.75
2015-10-23,2015-43,15.96
2015-10-30,2015-44,15.72
2015-11-06,2015-45,16.02
2015-11-13,2015-46,15.9
2015-11-20,2015-47,15.44
2015-11-27,2015-48,15.12
2015-12-04,2015-49,15.2
2015-12-11,2015-50,15.45
2015-12-18,2015-51,15.19
2015-12-25,2015-52,14.87
2016-01-01,2016-1,14.74
2016-01-08,2016-2,16.12
2016-01-15,2016-3,16.12
2016-01-22,2016-4,16.16
2016-01-29,2016-5,15.97
2016-02-05,2016-6,16.36
2016-02-12,2016-7,16.44
2016-02-19,2016-8,16.24
2016-02-26,2016-9,16.22
2016-03-04,2016-10,16.35
2016-03-11,2016-11,16.4
2016-03-18,2016-12,16.32
2016-03-25,2016-13,16.26
2016-04-01,2016-14,15.87
2016-04-08,2016-15,16.61
2016-04-15,2016-16,16.19
2016-04-22,2016-17,15.78
2016-04-29,2016-18,15.13
2016-05-06,2016-19,16.04
2016-05-13,2016-20,15.62
2016-05-20,2016-21,15.39
2016-05-27,2016-22,15.12
2016-06-03,2016-23,14.96
2016-06-10,2016-24,15.6
2016-06-17,2016-25,15.43
2016-06-24,2016-26,15.21
2016-07-01,2016-27,15.1
2016-07-08,2016-28,15.4
2016-07-15,2016-29,15.4
2016-07-22,2016-30,15.44
2016-07-29,2016-31,15.2
2016-08-05,2016-32,15.88
2016-08-12,2016-33,15.82
2016-08-19,2016-34,15.13
2016-08-26,2016-35,14.96
2016-09-02,2016-36,14.83
2016-09-09,2016-37,15.41
2016-09-16,2016-38,15.33
2016-09-23,2016-39,15.12
2016-09-30,2016-40,14.35
2016-10-07,2016-41,15.25
2016-10-14,2016-42,14.86
2016-10-21,2016-43,14.56
2016-10-28,2016-44,14.27
2016-11-04,2016-45,14.04
2016-11-11,2016-46,13.9
2016-11-18,2016-47,13.47
2016-11-25,2016-48,13.44
2016-12-02,2016-49,13.92
2016-12-09,2016-50,14.27
2016-12-16,2016-51,14.1
2016-12-23,2016-52,13.77
2016-12-30,2016-53,13.26
2017-01-06,2017-1,15.03
2017-01-13,2017-2,15.17
2017-01-20,2017-3,15.27
2017-01-27,2017-4,15.37
2017-02-03,2017-5,15.45
