Tarih,TP_KTF17_EUR,TP_KTF17_EUR
2006-08-18,2006-33,4.34
2006-08-25,2006-34,5.28
2006-09-01,2006-35,4.61
2006-09-08,2006-36,5.12
2006-09-15,2006-37,4.6
2006-09-22,2006-38,4.8
2006-09-29,2006-39,5.01
2006-10-06,2006-40,4.76
2006-10-13,2006-41,5.47
2006-10-20,2006-42,5.83
2006-10-27,2006-43,6.26
2006-11-03,2006-44,5.26
2006-11-10,2006-45,5.37
2006-11-17,2006-46,5.31
2006-11-24,2006-47,4.98
2006-12-01,2006-48,4.92
2006-12-08,2006-49,5.28
2006-12-15,2006-50,5.35
2006-12-22,2006-51,5.57
2006-12-29,2006-52,6.02
2007-01-05,2007-1,6.35
2007-01-12,2007-2,5.92
2007-01-19,2007-3,6.53
2007-01-26,2007-4,5.47
2007-02-02,2007-5,6.3
2007-02-09,2007-6,6.25
2007-02-16,2007-7,6.38
2007-02-23,2007-8,7.04
2007-03-02,2007-9,5.51
2007-03-09,2007-10,5.22
2007-03-16,2007-11,5.17
2007-03-23,2007-12,6.16
2007-03-30,2007-13,6.04
2007-04-06,2007-14,7.02
2007-04-13,2007-15,6.03
2007-04-20,2007-16,6.27
2007-04-27,2007-17,5.38
2007-05-04,2007-18,5.87
2007-05-11,2007-19,5.46
2007-05-18,2007-20,7.71
2007-05-25,2007-21,5.69
2007-06-01,2007-22,5.91
2007-06-08,2007-23,5.45
2007-06-15,2007-24,5.8
2007-06-22,2007-25,5.89
2007-06-29,2007-26,6.15
2007-07-06,2007-27,6.01
2007-07-13,2007-28,5.94
2007-07-20,2007-29,6.04
2007-07-27,2007-30,6.17
2007-08-03,2007-31,5.85
2007-08-10,2007-32,6.28
2007-08-17,2007-33,6.01
2007-08-24,2007-34,6.83
2007-08-31,2007-35,6.01
2007-09-07,2007-36,6.49
2007-09-14,2007-37,5.96
2007-09-21,2007-38,6.43
2007-09-28,2007-39,6.46
2007-10-05,2007-40,5.56
2007-10-12,2007-41,6.61
2007-10-19,2007-42,6.69
2007-10-26,2007-43,5.87
2007-11-02,2007-44,6.18
2007-11-09,2007-45,6.16
2007-11-16,2007-46,6.28
2007-11-23,2007-47,5.93
2007-11-30,2007-48,6.32
2007-12-07,2007-49,6.32
2007-12-14,2007-50,6.11
2007-12-21,2007-51,6.56
2007-12-28,2007-52,6.31
2008-01-04,2008-1,6.02
2008-01-11,2008-2,6.87
2008-01-18,2008-3,6.11
2008-01-25,2008-4,6.74
2008-02-01,2008-5,6.79
2008-02-08,2008-6,6.14
2008-02-15,2008-7,6.87
2008-02-22,2008-8,6.95
2008-02-29,2008-9,7.07
2008-03-07,2008-10,6.61
2008-03-14,2008-11,6.49
2008-03-21,2008-12,6.57
2008-03-28,2008-13,5.44
2008-04-04,2008-14,6.65
2008-04-11,2008-15,6.5
2008-04-18,2008-16,7.02
2008-04-25,2008-17,4.75
2008-05-02,2008-18,5.89
2008-05-09,2008-19,6.2
2008-05-16,2008-20,6.03
2008-05-23,2008-21,6.14
2008-05-30,2008-22,6.15
2008-06-06,2008-23,6.24
2008-06-13,2008-24,6.4
2008-06-20,2008-25,6.5
2008-06-27,2008-26,6.59
2008-07-04,2008-27,7.09
2008-07-11,2008-28,7.3
2008-07-18,2008-29,6.92
2008-07-25,2008-30,6.91
2008-08-01,2008-31,7.03
2008-08-08,2008-32,6.96
2008-08-15,2008-33,6.84
2008-08-22,2008-34,7.35
2008-08-29,2008-35,7.51
2008-09-05,2008-36,7.4
2008-09-12,2008-37,7.25
2008-09-19,2008-38,7.24
2008-09-26,2008-39,7.59
2008-10-03,2008-40,8.54
2008-10-10,2008-41,9.03
2008-10-17,2008-42,9.04
2008-10-24,2008-43,10.18
2008-10-31,2008-44,11.51
2008-11-07,2008-45,11.59
2008-11-14,2008-46,10.54
2008-11-21,2008-47,11.26
2008-11-28,2008-48,8.49
2008-12-05,2008-49,12.2
2008-12-12,2008-50,10.39
2008-12-19,2008-51,8.87
2008-12-26,2008-52,9.49
2009-01-02,2009-1,10.11
2009-01-09,2009-2,9.79
2009-01-16,2009-3,8.19
2009-01-23,2009-4,8.99
2009-01-30,2009-5,8.97
2009-02-06,2009-6,8.68
2009-02-13,2009-7,7.25
2009-02-20,2009-8,7.92
2009-02-27,2009-9,7.5
2009-03-06,2009-10,8.05
2009-03-13,2009-11,8.4
2009-03-20,2009-12,7.17
2009-03-27,2009-13,7.33
2009-04-03,2009-14,7.47
2009-04-10,2009-15,6.78
2009-04-17,2009-16,7.27
2009-04-24,2009-17,7.86
2009-05-01,2009-18,9.21
2009-05-08,2009-19,7.03
2009-05-15,2009-20,7.2
2009-05-22,2009-21,7.84
2009-05-29,2009-22,6.98
2009-06-05,2009-23,6.76
2009-06-12,2009-24,7.09
2009-06-19,2009-25,6.16
2009-06-26,2009-26,6.75
2009-07-03,2009-27,6.59
2009-07-10,2009-28,6.22
2009-07-17,2009-29,6.35
2009-07-24,2009-30,6.05
2009-07-31,2009-31,7.33
2009-08-07,2009-32,5.06
2009-08-14,2009-33,4.92
2009-08-21,2009-34,5.6
2009-08-28,2009-35,4.43
2009-09-04,2009-36,5.21
2009-09-11,2009-37,5.77
2009-09-18,2009-38,5.45
2009-09-25,2009-39,4.6
2009-10-02,2009-40,4.47
2009-10-09,2009-41,5.93
2009-10-16,2009-42,5.15
2009-10-23,2009-43,5.3
2009-10-30,2009-44,4.98
2009-11-06,2009-45,6.03
2009-11-13,2009-46,5.46
2009-11-20,2009-47,5.11
2009-11-27,2009-48,5.27
2009-12-04,2009-49,6.16
2009-12-11,2009-50,4.92
2009-12-18,2009-51,4.94
2009-12-25,2009-52,4.9
2010-01-01,2010-1,4.82
2010-01-08,2010-2,4.26
2010-01-15,2010-3,5.0
2010-01-22,2010-4,3.59
2010-01-29,2010-5,4.48
2010-02-05,2010-6,3.3
2010-02-12,2010-7,3.97
2010-02-19,2010-8,4.71
2010-02-26,2010-9,4.0
2010-03-05,2010-10,4.24
2010-03-12,2010-11,3.41
2010-03-19,2010-12,4.53
2010-03-26,2010-13,3.26
2010-04-02,2010-14,4.46
2010-04-09,2010-15,3.57
2010-04-16,2010-16,3.31
2010-04-23,2010-17,3.28
2010-04-30,2010-18,4.17
2010-05-07,2010-19,4.29
2010-05-14,2010-20,3.58
2010-05-21,2010-21,5.77
2010-05-28,2010-22,3.96
2010-06-04,2010-23,5.21
2010-06-11,2010-24,4.51
2010-06-18,2010-25,4.12
2010-06-25,2010-26,4.87
2010-07-02,2010-27,4.57
2010-07-09,2010-28,4.53
2010-07-16,2010-29,4.23
2010-07-23,2010-30,4.32
2010-07-30,2010-31,4.05
2010-08-06,2010-32,3.56
2010-08-13,2010-33,4.24
2010-08-20,2010-34,4.91
2010-08-27,2010-35,4.18
2010-09-03,2010-36,3.9
2010-09-10,2010-37,3.66
2010-09-17,2010-38,3.65
2010-09-24,2010-39,3.61
2010-10-01,2010-40,4.03
2010-10-08,2010-41,4.0
2010-10-15,2010-42,3.41
2010-10-22,2010-43,4.11
2010-10-29,2010-44,4.24
2010-11-05,2010-45,4.64
2010-11-12,2010-46,3.28
2010-11-19,2010-47,
2010-11-26,2010-48,4.34
2010-12-03,2010-49,4.93
2010-12-10,2010-50,3.41
2010-12-17,2010-51,3.91
2010-12-24,2010-52,4.94
2010-12-31,2010-53,4.73
2011-01-07,2011-1,2.71
2011-01-14,2011-2,4.75
2011-01-21,2011-3,5.12
2011-01-28,2011-4,4.21
2011-02-04,2011-5,3.39
2011-02-11,2011-6,3.1
2011-02-18,2011-7,4.31
2011-02-25,2011-8,3.83
2011-03-04,2011-9,4.34
2011-03-11,2011-10,4.07
2011-03-18,2011-11,4.04
2011-03-25,2011-12,3.75
2011-04-01,2011-13,4.03
2011-04-08,2011-14,4.51
2011-04-15,2011-15,3.63
2011-04-22,2011-16,4.46
2011-04-29,2011-17,3.9
2011-05-06,2011-18,4.09
2011-05-13,2011-19,5.53
2011-05-20,2011-20,4.76
2011-05-27,2011-21,4.75
2011-06-03,2011-22,5.62
2011-06-10,2011-23,5.17
2011-06-17,2011-24,4.54
2011-06-24,2011-25,5.22
2011-07-01,2011-26,4.97
2011-07-08,2011-27,5.26
2011-07-15,2011-28,6.01
2011-07-22,2011-29,5.56
2011-07-29,2011-30,5.96
2011-08-05,2011-31,7.89
2011-08-12,2011-32,5.28
2011-08-19,2011-33,5.46
2011-08-26,2011-34,5.7
2011-09-02,2011-35,5.49
2011-09-09,2011-36,5.56
2011-09-16,2011-37,5.81
2011-09-23,2011-38,6.06
2011-09-30,2011-39,6.16
2011-10-07,2011-40,5.59
2011-10-14,2011-41,4.74
2011-10-21,2011-42,6.47
2011-10-28,2011-43,5.44
2011-11-04,2011-44,5.08
2011-11-11,2011-45,6.64
2011-11-18,2011-46,6.97
2011-11-25,2011-47,6.88
2011-12-02,2011-48,8.28
2011-12-09,2011-49,5.68
2011-12-16,2011-50,5.15
2011-12-23,2011-51,4.92
2011-12-30,2011-52,7.13
2012-01-06,2012-1,5.68
2012-01-13,2012-2,4.75
2012-01-20,2012-3,5.92
2012-01-27,2012-4,3.81
2012-02-03,2012-5,6.59
2012-02-10,2012-6,5.5
2012-02-17,2012-7,5.17
2012-02-24,2012-8,6.06
2012-03-02,2012-9,5.53
2012-03-09,2012-10,6.93
2012-03-16,2012-11,5.25
2012-03-23,2012-12,5.96
2012-03-30,2012-13,7.35
2012-04-06,2012-14,5.5
2012-04-13,2012-15,6.38
2012-04-20,2012-16,5.55
2012-04-27,2012-17,6.37
2012-05-04,2012-18,5.68
2012-05-11,2012-19,6.31
2012-05-18,2012-20,5.49
2012-05-25,2012-21,4.49
2012-06-01,2012-22,5.82
2012-06-08,2012-23,5.08
2012-06-15,2012-24,4.94
2012-06-22,2012-25,4.24
2012-06-29,2012-26,4.61
2012-07-06,2012-27,4.91
2012-07-13,2012-28,6.06
2012-07-20,2012-29,6.08
2012-07-27,2012-30,5.13
2012-08-03,2012-31,4.52
2012-08-10,2012-32,5.11
2012-08-17,2012-33,4.79
2012-08-24,2012-34,5.01
2012-08-31,2012-35,4.86
2012-09-07,2012-36,4.24
2012-09-14,2012-37,4.6
2012-09-21,2012-38,4.61
2012-09-28,2012-39,4.42
2012-10-05,2012-40,4.99
2012-10-12,2012-41,4.38
2012-10-19,2012-42,4.38
2012-10-26,2012-43,4.21
2012-11-02,2012-44,4.55
2012-11-09,2012-45,4.9
2012-11-16,2012-46,4.0
2012-11-23,2012-47,4.35
2012-11-30,2012-48,4.76
2012-12-07,2012-49,4.22
2012-12-14,2012-50,4.17
2012-12-21,2012-51,4.5
2012-12-28,2012-52,4.32
2013-01-04,2013-1,4.64
2013-01-11,2013-2,4.39
2013-01-18,2013-3,4.29
2013-01-25,2013-4,3.92
2013-02-01,2013-5,4.16
2013-02-08,2013-6,4.49
2013-02-15,2013-7,4.06
2013-02-22,2013-8,3.92
2013-03-01,2013-9,3.85
2013-03-08,2013-10,3.76
2013-03-15,2013-11,3.48
2013-03-22,2013-12,3.65
2013-03-29,2013-13,3.69
2013-04-05,2013-14,4.2
2013-04-12,2013-15,4.14
2013-04-19,2013-16,3.76
2013-04-26,2013-17,3.71
2013-05-03,2013-18,3.76
2013-05-10,2013-19,3.96
2013-05-17,2013-20,3.33
2013-05-24,2013-21,3.21
2013-05-31,2013-22,3.87
2013-06-07,2013-23,3.6
2013-06-14,2013-24,4.11
2013-06-21,2013-25,3.24
2013-06-28,2013-26,4.35
2013-07-05,2013-27,3.46
2013-07-12,2013-28,4.31
2013-07-19,2013-29,4.17
2013-07-26,2013-30,4.06
2013-08-02,2013-31,3.53
2013-08-09,2013-32,3.76
2013-08-16,2013-33,4.55
2013-08-23,2013-34,3.82
2013-08-30,2013-35,4.19
2013-09-06,2013-36,3.94
2013-09-13,2013-37,3.49
2013-09-20,2013-38,3.76
2013-09-27,2013-39,4.09
2013-10-04,2013-40,4.14
2013-10-11,2013-41,3.94
2013-10-18,2013-42,3.75
2013-10-25,2013-43,3.83
2013-11-01,2013-44,3.74
2013-11-08,2013-45,3.76
2013-11-15,2013-46,3.69
2013-11-22,2013-47,3.85
2013-11-29,2013-48,3.87
2013-12-06,2013-49,3.63
2013-12-13,2013-50,4.29
2013-12-20,2013-51,4.4
2013-12-27,2013-52,4.19
2014-01-03,2014-1,4.53
2014-01-10,2014-2,3.91
2014-01-17,2014-3,4.15
2014-01-24,2014-4,4.57
2014-01-31,2014-5,4.63
2014-02-07,2014-6,4.43
2014-02-14,2014-7,3.71
2014-02-21,2014-8,4.05
2014-02-28,2014-9,4.44
2014-03-07,2014-10,4.46
2014-03-14,2014-11,4.71
2014-03-21,2014-12,3.92
2014-03-28,2014-13,4.02
2014-04-04,2014-14,4.09
2014-04-11,2014-15,3.95
2014-04-18,2014-16,3.78
2014-04-25,2014-17,3.84
2014-05-02,2014-18,4.09
2014-05-09,2014-19,3.8
2014-05-16,2014-20,2.89
2014-05-23,2014-21,3.44
2014-05-30,2014-22,3.45
2014-06-06,2014-23,3.3
2014-06-13,2014-24,3.6
2014-06-20,2014-25,3.01
2014-06-27,2014-26,3.35
2014-07-04,2014-27,3.45
2014-07-11,2014-28,2.91
2014-07-18,2014-29,3.24
2014-07-25,2014-30,3.64
2014-08-01,2014-31,3.35
2014-08-08,2014-32,3.11
2014-08-15,2014-33,3.25
2014-08-22,2014-34,3.36
2014-08-29,2014-35,3.24
2014-09-05,2014-36,3.55
2014-09-12,2014-37,3.61
2014-09-19,2014-38,3.14
2014-09-26,2014-39,3.83
2014-10-03,2014-40,3.7
2014-10-10,2014-41,3.35
2014-10-17,2014-42,3.48
2014-10-24,2014-43,4.09
2014-10-31,2014-44,3.47
2014-11-07,2014-45,4.06
2014-11-14,2014-46,3.15
2014-11-21,2014-47,3.28
2014-11-28,2014-48,3.49
2014-12-05,2014-49,3.23
2014-12-12,2014-50,3.34
2014-12-19,2014-51,3.29
2014-12-26,2014-52,3.75
2015-01-02,2015-1,4.08
2015-01-09,2015-2,3.68
2015-01-16,2015-3,3.13
2015-01-23,2015-4,2.77
2015-01-30,2015-5,2.83
2015-02-06,2015-6,2.87
2015-02-13,2015-7,2.93
2015-02-20,2015-8,2.64
2015-02-27,2015-9,3.29
2015-03-06,2015-10,2.63
2015-03-13,2015-11,3.22
2015-03-20,2015-12,2.77
2015-03-27,2015-13,3.0
2015-04-03,2015-14,3.02
2015-04-10,2015-15,3.02
2015-04-17,2015-16,2.69
2015-04-24,2015-17,3.19
2015-05-01,2015-18,3.03
2015-05-08,2015-19,3.04
2015-05-15,2015-20,3.2
2015-05-22,2015-21,2.92
2015-05-29,2015-22,3.68
2015-06-05,2015-23,3.15
2015-06-12,2015-24,2.57
2015-06-19,2015-25,2.77
2015-06-26,2015-26,2.71
2015-07-03,2015-27,3.48
2015-07-10,2015-28,2.84
2015-07-17,2015-29,3.54
2015-07-24,2015-30,3.28
2015-07-31,2015-31,3.09
2015-08-07,2015-32,2.82
2015-08-14,2015-33,2.62
2015-08-21,2015-34,2.81
2015-08-28,2015-35,2.8
2015-09-04,2015-36,2.96
2015-09-11,2015-37,2.96
2015-09-18,2015-38,2.58
2015-09-25,2015-39,2.73
2015-10-02,2015-40,2.91
2015-10-09,2015-41,2.88
2015-10-16,2015-42,2.87
2015-10-23,2015-43,2.72
2015-10-30,2015-44,3.5
2015-11-06,2015-45,3.74
2015-11-13,2015-46,2.87
2015-11-20,2015-47,3.21
2015-11-27,2015-48,4.01
2015-12-04,2015-49,2.96
2015-12-11,2015-50,3.21
2015-12-18,2015-51,2.59
2015-12-25,2015-52,3.47
2016-01-01,2016-1,3.51
2016-01-08,2016-2,3.18
2016-01-15,2016-3,2.77
2016-01-22,2016-4,3.39
2016-01-29,2016-5,3.28
2016-02-05,2016-6,3.5
2016-02-12,2016-7,2.94
2016-02-19,2016-8,2.97
2016-02-26,2016-9,3.02
2016-03-04,2016-10,3.01
2016-03-11,2016-11,2.83
2016-03-18,2016-12,3.24
2016-03-25,2016-13,3.81
2016-04-01,2016-14,3.36
2016-04-08,2016-15,3.9
2016-04-15,2016-16,3.61
2016-04-22,2016-17,2.88
2016-04-29,2016-18,3.05
2016-05-06,2016-19,3.34
2016-05-13,2016-20,3.0
2016-05-20,2016-21,2.7
2016-05-27,2016-22,3.29
2016-06-03,2016-23,3.11
2016-06-10,2016-24,3.15
2016-06-17,2016-25,2.53
2016-06-24,2016-26,3.44
2016-07-01,2016-27,3.36
2016-07-08,2016-28,2.44
2016-07-15,2016-29,2.86
2016-07-22,2016-30,3.32
2016-07-29,2016-31,3.22
2016-08-05,2016-32,3.25
2016-08-12,2016-33,4.72
2016-08-19,2016-34,2.98
2016-08-26,2016-35,3.73
2016-09-02,2016-36,2.64
2016-09-09,2016-37,2.44
2016-09-16,2016-38,2.52
2016-09-23,2016-39,3.1
2016-09-30,2016-40,3.23
2016-10-07,2016-41,3.19
2016-10-14,2016-42,3.69
2016-10-21,2016-43,3.23
2016-10-28,2016-44,2.84
2016-11-04,2016-45,3.07
2016-11-11,2016-46,3.15
2016-11-18,2016-47,3.19
2016-11-25,2016-48,3.12
2016-12-02,2016-49,3.1
2016-12-09,2016-50,2.82
2016-12-16,2016-51,2.59
2016-12-23,2016-52,3.08
2016-12-30,2016-53,3.75
2017-01-06,2017-1,2.81
2017-01-13,2017-2,2.73
2017-01-20,2017-3,2.21
2017-01-27,2017-4,3.1
