Tarih,TP_IHRACATBEC_521
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,401629.988
2013-02-01,656827.742
2013-03-01,541275.718
2013-04-01,502481.687
2013-05-01,509151.122
2013-06-01,595873.406
2013-07-01,589363.983
2013-08-01,406535.476
2013-09-01,664097.245
2013-10-01,543796.639
2013-11-01,652476.725
2013-12-01,615394.931
2014-01-01,379293.237
2014-02-01,548797.765
2014-03-01,661321.255
2014-04-01,686229.461
2014-05-01,667938.838
2014-06-01,668270.313
2014-07-01,680242.806
2014-08-01,419182.67
2014-09-01,626656.459
2014-10-01,611953.276
2014-11-01,570592.122
2014-12-01,638010.602
2015-01-01,557796.535
2015-02-01,572227.431
2015-03-01,494843.346
2015-04-01,585338.938
2015-05-01,443611.347
2015-06-01,574919.974
2015-07-01,629579.848
2015-08-01,444673.242
2015-09-01,633157.826
2015-10-01,714533.011
2015-11-01,706896.418
2015-12-01,648001.31
2016-01-01,545945.387
2016-02-01,744795.133
2016-03-01,686076.532
2016-04-01,687437.559
2016-05-01,642498.302
2016-06-01,686927.428
2016-07-01,578363.18
2016-08-01,425750.469
2016-09-01,539091.589
