Tarih,TP_IHRACATBEC_3
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,4664059.801
2013-02-01,4963747.666
2013-03-01,5220397.257
2013-04-01,5044269.951
2013-05-01,5320608.043
2013-06-01,5171867.739
2013-07-01,5502627.051
2013-08-01,4686279.608
2013-09-01,5585383.582
2013-10-01,5175595.837
2013-11-01,6363629.101
2013-12-01,5692548.205
2014-01-01,5358028.286
2014-02-01,5384847.269
2014-03-01,5830907.106
2014-04-01,5834194.824
2014-05-01,5874465.487
2014-06-01,5472943.099
2014-07-01,5537504.196
2014-08-01,4922273.278
2014-09-01,6246142.671
2014-10-01,5920347.761
2014-11-01,6298559.38
2014-12-01,6124158.293
2015-01-01,5186227.588
2015-02-01,4728166.739
2015-03-01,5142350.242
2015-04-01,5247160.549
2015-05-01,4838330.996
2015-06-01,5390639.612
2015-07-01,4840277.878
2015-08-01,4816511.83
2015-09-01,4940484.117
2015-10-01,5896279.874
2015-11-01,5490308.967
2015-12-01,5446563.841
2016-01-01,4166191.249
2016-02-01,4928016.449
2016-03-01,5231798.055
2016-04-01,5192135.061
2016-05-01,4983072.509
